ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
185.96.41.210,192.168.1.1,1780569475,1.115533113,20,6,39,24.20367417,24.20367417,0,0,0,0,0,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3061,67,152,113.3703704,26.49409179,116,0.04290512,27,10.64755232,26.49409179,-113.1723077,701.9368999,27,DDOS_ack_flood
88.10.25.194,192.168.1.1,1780569476,0.778967857,20,6,34,26.95875035,26.95875035,0,0,0,0,0,1,0,0,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2126,64,153,101.2380952,28.59054916,107,0.038948393,21,10.06171433,28.59054916,-307.5552632,817.4195011,21,DDOS_ack_flood
233.250.16.161,192.168.1.1,1780569477,0.256071091,20,6,117,31.24132435,31.24132435,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,959,87,145,119.875,15.95648379,145,0.036581584,8,10.94874422,15.95648379,56.33333333,254.609375,8,DDOS_ack_flood
188.19.249.66,192.168.1.1,1780569477,0.686035156,20,6,128,24.78007117,24.78007117,0,0,0,0,0,1,0,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1936,71,153,113.8823529,24.95851229,123,0.042877197,17,10.6715675,24.95851229,-319.2333333,622.9273356,17,DDOS_ack_flood
220.215.153.124,192.168.1.1,1780569478,0.228711128,20,6,81,26.23396617,26.23396617,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,685,64,151,114.1666667,35.7184204,71,0.045742226,6,10.68488028,35.7184204,315,1275.805556,6,DDOS_ack_flood
22.196.99.235,192.168.1.1,1780569479,1.079689026,20,6,32,27.78577839,27.78577839,0,0,0,0,0,1,0,0,30,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3362,68,154,112.0666667,23.70082043,136,0.037230656,30,10.58615448,23.70082043,110.3719212,561.7288889,30,DDOS_ack_flood
73.92.39.91,192.168.1.1,1780569480,0.921247005,20,6,36,30.3935859,30.3935859,0,0,0,0,0,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2928,66,152,104.5714286,28.40954137,114,0.034120259,28,10.22601724,28.40954137,-116.1794872,807.1020408,28,DDOS_ack_flood
93.147.36.76,192.168.1.1,1780569481,1.022807121,20,6,89,26.397939,26.397939,0,0,0,0,0,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3054,71,149,113.1111111,25.498487,78,0.039338735,27,10.63537076,25.498487,-266.3692308,650.1728395,27,DDOS_ack_flood
232.208.159.88,192.168.1.1,1780569482,0.304378986,20,6,92,29.56840125,29.56840125,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,970,66,142,107.7777778,28.97423291,142,0.038047373,9,10.38160767,28.97423291,251.2142857,839.5061728,9,DDOS_ack_flood
148.158.38.201,192.168.1.1,1780569482,0.23239398,20,6,61,30.12126217,30.12126217,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,766,76,152,109.4285714,24.80125079,103,0.03873233,7,10.46081122,24.80125079,20.7,615.1020408,7,DDOS_ack_flood
