ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
98.232.147.231,192.168.1.1,1780685183,0.945944071,20,6,0.945944071,75.05729164,75.05729164,0,0,0,0,0,1,0,0,71,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,20877,40,346,294.0422535,85.67683083,20877,0.013513487,71,17.14766029,85.67683083,-2808.375362,7340.519341,71,DDOS_ACK_FRAGMENTATION
135.127.77.15,192.168.1.1,1780685184,1.091509104,20,6,1.091509104,256.5255746,256.5255746,0,0,0,0,0,1,0,0,280,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,41532,40,154,148.3285714,20.09973094,41532,0.003912219,280,12.17902178,20.09973094,-30.17859261,403.9991837,280,DDOS_ACK_FRAGMENTATION
130.83.250.84,192.168.1.1,1780685185,1.019789934,20,6,1.019789934,49.02970536,49.02970536,0,0,0,0,0,1,0,0,50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,13719,39,346,274.38,94.76304976,13719,0.020812039,50,16.5644197,94.76304976,-5223.814201,8980.0356,50,DDOS_ACK_FRAGMENTATION
30.108.58.151,192.168.1.1,1780685186,0.742846966,20,6,0.742846966,140.001918,140.001918,0,0,0,0,0,1,0,0,104,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,16638,35,170,159.9807692,29.5527497,16638,0.007212106,104,12.64835045,29.5527497,-95.41252618,873.3650148,104,DDOS_ACK_FRAGMENTATION
75.11.229.45,192.168.1.1,1780685187,0.485719919,20,6,0.485719919,59.70518987,59.70518987,0,0,0,0,0,1,0,0,29,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,11474,46,466,395.6551724,126.9187293,11474,0.01734714,29,19.89108274,126.9187293,-5485.873016,16108.36385,29,DDOS_ACK_FRAGMENTATION
173.147.242.87,192.168.1.1,1780685187,0.896354914,20,6,0.896354914,129.413024,129.413024,0,0,0,0,0,1,0,0,116,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,20700,68,186,178.4482759,25.80475258,20700,0.007794391,116,13.35845335,25.80475258,-56.79633867,665.8852556,116,DDOS_ACK_FRAGMENTATION
185.146.238.88,192.168.1.1,1780685188,1.070316076,20,6,1.070316076,95.29895165,95.29895165,0,0,0,0,0,1,0,0,102,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,37363,95,394,366.3039216,64.83641394,37363,0.010597189,102,19.13906794,64.83641394,-723.3118812,4203.760573,102,DDOS_ACK_FRAGMENTATION
93.181.12.220,192.168.1.1,1780685190,1.329829931,20,6,1.329829931,66.92585112,66.92585112,0,0,0,0,0,1,0,0,89,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,38238,72,506,429.6404494,129.0699007,38238,0.015111704,89,20.72777001,129.0699007,-5893.239812,16659.03926,89,DDOS_ACK_FRAGMENTATION
144.110.26.76,192.168.1.1,1780685191,1.416445017,20,6,1.416445017,64.24534586,64.24534586,0,0,0,0,0,1,0,0,91,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,39014,43,498,428.7252747,135.8575584,39014,0.015738278,91,20.70568218,135.8575584,-4770.105368,18457.27617,91,DDOS_ACK_FRAGMENTATION
13.38.31.62,192.168.1.1,1780685192,1.411139011,20,6,1.411139011,102.7538739,102.7538739,0,0,0,0,0,1,0,0,145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,32193,39,242,222.0206897,49.40409992,32193,0.009799576,145,14.90035871,49.40409992,-395.1861402,2440.765089,145,DDOS_ACK_FRAGMENTATION
253.165.244.154,192.168.1.1,1780685194,0.622295856,20,6,0.622295856,126.9492624,126.9492624,0,0,0,0,0,1,0,0,79,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,12803,49,170,162.0632911,24.32498417,12803,0.007978152,79,12.73040813,24.32498417,-61.59340659,591.704855,79,DDOS_ACK_FRAGMENTATION
153.109.20.220,192.168.1.1,1780685195,1.04420805,20,6,1.04420805,87.14738411,87.14738411,0,0,0,0,0,1,0,0,91,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,40035,57,482,439.9450549,104.2921049,40035,0.011602312,91,20.97486722,104.2921049,-1718.993633,10876.84313,91,DDOS_ACK_FRAGMENTATION
86.22.196.180,192.168.1.1,1780685196,0.753214121,20,6,0.753214121,106.2114979,106.2114979,0,0,0,0,0,1,0,0,80,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,32537,59,474,406.7125,126.733302,32537,0.009534356,80,20.16711432,126.733302,-4387.118793,16061.32984,80,DDOS_ACK_FRAGMENTATION
