ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
151.41.241.89,192.168.1.1,1780726578,0.192224979,20,6,0.192224979,31.21342512,31.21342512,0,0,1,0,0,1,0,0,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,602,65,129,100.3333333,21.06075867,602,0.038444996,6,10.0166528,21.06075867,-417.4,443.5555556,6,DDOS_ACK_SYN_FLOOD
253.2.181.215,192.168.1.1,1780726579,0.359658957,20,6,0.359658957,33.36494138,33.36494138,0,0,1,0,0,1,0,0,12,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,971,65,98,80.91666667,9.835804774,971,0.032696269,12,8.995369179,9.835804774,-10.64545455,96.74305556,12,DDOS_ACK_SYN_FLOOD
9.253.103.9,192.168.1.1,1780726579,0.315900087,20,6,0.315900087,37.98669415,37.98669415,0,0,1,0,0,1,0,0,12,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1230,59,139,102.5,24.07799826,1230,0.02871819,12,10.12422837,24.07799826,28.90909091,579.75,12,DDOS_ACK_SYN_FLOOD
123.108.103.219,192.168.1.1,1780726579,0.727873087,20,6,0.727873087,23.35571998,23.35571998,0,0,1,0,0,1,0,0,17,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1752,74,134,103.0588235,16.923602,1752,0.045492068,17,10.15178918,16.923602,-71.44166667,286.4083045,17,DDOS_ACK_SYN_FLOOD
87.34.21.53,192.168.1.1,1780726580,0.975907087,20,6,0.975907087,24.59250508,24.59250508,0,0,1,0,0,1,0,0,24,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2357,63,129,98.20833333,23.14983651,2357,0.042430743,24,9.910011773,23.14983651,-165.0573123,535.9149306,24,DDOS_ACK_SYN_FLOOD
95.179.127.247,192.168.1.1,1780726581,0.260445118,20,6,0.260445118,34.55622463,34.55622463,0,0,1,0,0,1,0,0,9,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,627,58,78,69.66666667,5.944184833,627,0.03255564,9,8.346656017,5.944184833,-25.875,35.33333333,9,DDOS_ACK_SYN_FLOOD
67.13.216.119,192.168.1.1,1780726582,0.64802289,20,6,0.64802289,23.14733049,23.14733049,0,0,1,0,0,1,0,0,15,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,989,58,76,65.93333333,5.603173704,989,0.046287349,15,8.119934318,5.603173704,2.774725275,31.39555556,15,DDOS_ACK_SYN_FLOOD
129.183.82.10,192.168.1.1,1780726582,0.200146914,20,6,0.200146914,34.974309,34.974309,0,0,1,0,0,1,0,0,7,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,649,62,124,92.71428571,19.59383493,649,0.033357819,7,9.62882577,19.59383493,-58.2,383.9183673,7,DDOS_ACK_SYN_FLOOD
235.143.45.237,192.168.1.1,1780726583,0.27620101,20,6,0.27620101,32.58496415,32.58496415,0,0,1,0,0,1,0,0,9,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,641,66,77,71.22222222,3.644715437,641,0.034525126,9,8.439325934,3.644715437,1.428571429,13.28395062,9,DDOS_ACK_SYN_FLOOD
63.68.192.181,192.168.1.1,1780726583,0.176357031,20,6,0.176357031,28.35157734,28.35157734,0,0,1,0,0,1,0,0,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,454,71,132,90.8,22.1033934,454,0.044089258,5,9.5289034,22.1033934,-478,488.56,5,DDOS_ACK_SYN_FLOOD
36.100.7.98,192.168.1.1,1780726583,0.688642979,20,6,0.688642979,34.85115037,34.85115037,0,0,1,0,0,1,0,0,24,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2297,61,127,95.70833333,19.46894785,2297,0.029940999,24,9.783063597,19.46894785,-16.39920949,379.0399306,24,DDOS_ACK_SYN_FLOOD
151.216.125.36,192.168.1.1,1780726584,1.174201965,20,6,1.174201965,21.29105617,21.29105617,0,0,1,0,0,1,0,0,25,25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2616,69,136,104.64,18.6223092,2616,0.048925082,25,10.22936948,18.6223092,-63.32065217,346.7904,25,DDOS_ACK_SYN_FLOOD
116.240.233.38,192.168.1.1,1780726585,0.735759974,20,6,0.735759974,21.74622238,21.74622238,0,0,1,0,0,1,0,0,16,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1097,55,84,68.5625,8.298860991,1097,0.049050665,16,8.280247581,8.298860991,-39.71428571,68.87109375,16,DDOS_ACK_SYN_FLOOD
127.91.75.224,192.168.1.1,1780726586,0.74377799,20,6,0.74377799,20.16730825,20.16730825,0,0,1,0,0,1,0,0,15,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1263,73,98,84.2,7.926327439,1263,0.053126999,15,9.176055798,7.926327439,-16.23076923,62.82666667,15,DDOS_ACK_SYN_FLOOD
33.46.200.22,192.168.1.1,1780726587,0.420342922,20,6,0.420342922,26.1691096,26.1691096,0,0,1,0,0,1,0,0,11,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1107,71,130,100.6363636,20.26763083,1107,0.042034292,11,10.03176772,20.26763083,33.98888889,410.7768595,11,DDOS_ACK_SYN_FLOOD
165.33.71.161,192.168.1.1,1780726587,0.972401142,20,6,0.972401142,28.79470086,28.79470086,0,0,1,0,0,1,0,0,28,28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2731,69,123,97.53571429,13.3670227,2731,0.036014857,28,9.876017127,13.3670227,50.92307692,178.6772959,28,DDOS_ACK_SYN_FLOOD
29.134.209.32,192.168.1.1,1780726588,0.752222061,20,6,0.752222061,25.25849876,25.25849876,0,0,1,0,0,1,0,0,19,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1328,64,79,69.89473684,4.575618875,1328,0.041790115,19,8.360307222,4.575618875,3.156862745,20.93628809,19,DDOS_ACK_SYN_FLOOD
42.53.146.241,192.168.1.1,1780726589,0.520204067,20,6,0.520204067,36.52412812,36.52412812,0,0,1,0,0,1,0,0,19,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1825,74,118,96.05263158,13.48868408,1825,0.028900226,19,9.800644447,13.48868408,-25.49019608,181.9445983,19,DDOS_ACK_SYN_FLOOD
30.95.177.76,192.168.1.1,1780726590,1.119728088,20,6,1.119728088,25.00607093,25.00607093,0,0,1,0,0,1,0,0,28,28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2566,75,114,91.64285714,11.6288259,2566,0.041471411,28,9.573027585,11.6288259,-67.20940171,135.2295918,28,DDOS_ACK_SYN_FLOOD
178.5.173.15,192.168.1.1,1780726591,0.327803135,20,6,0.327803135,36.60733752,36.60733752,0,0,1,0,0,1,0,0,12,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,910,64,93,75.83333333,9.044642367,910,0.029800285,12,8.708233652,9.044642367,-3.527272727,81.80555556,12,DDOS_ACK_SYN_FLOOD
94.153.55.201,192.168.1.1,1780726591,0.896523952,20,6,0.896523952,25.65464083,25.65464083,0,0,1,0,0,1,0,0,23,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1620,63,77,70.43478261,4.595140032,1620,0.040751089,23,8.392543274,4.595140032,-1.627705628,21.11531191,23,DDOS_ACK_SYN_FLOOD
105.231.234.12,192.168.1.1,1780726592,0.227822065,20,6,0.227822065,26.33634275,26.33634275,0,0,1,0,0,1,0,0,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,554,77,111,92.33333333,14.53348624,554,0.045564413,6,9.609023537,14.53348624,42.5,211.2222222,6,DDOS_ACK_SYN_FLOOD
