ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
229.92.114.97,192.168.1.1,1780574712,1.496150017,20,6,1.496150017,28.74043346,28.74043346,0,1,0,0,0,0,0,0,0,0,43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4977,73,152,115.744186,25.78993226,4977,0.035622619,43,10.75844719,25.78993226,-111.9041812,665.1206057,43,DDOS_FIN_FLOOD
126.63.189.59,192.168.1.1,1780574713,2.199732065,20,6,2.199732065,30.45825492,30.45825492,0,1,0,0,0,0,0,0,0,0,67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7363,64,153,109.8955224,28.1441568,7363,0.033329274,67,10.48310652,28.1441568,-34.73659674,792.093562,67,DDOS_FIN_FLOOD
30.40.62.10,192.168.1.1,1780574716,0.190530062,20,6,0.190530062,36.73960916,36.73960916,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,716,65,145,102.2857143,30.16011693,716,0.03175501,7,10.11364001,30.16011693,-233.9666667,909.6326531,7,DDOS_FIN_FLOOD
177.46.242.184,192.168.1.1,1780574716,1.381989002,20,6,1.381989002,29.66738515,29.66738515,0,1,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4511,64,153,110.0243902,26.55825424,4511,0.034549725,41,10.48925118,26.55825424,223.5961538,705.3408685,41,DDOS_FIN_FLOOD
136.136.31.205,192.168.1.1,1780574717,1.664304018,20,6,1.664304018,27.639181,27.639181,0,1,0,0,0,0,0,0,0,0,46,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4892,65,154,106.3478261,25.16486283,4892,0.036984534,46,10.31250823,25.16486283,25.55,633.2703214,46,DDOS_FIN_FLOOD
244.228.49.203,192.168.1.1,1780574719,1.117179155,20,6,1.117179155,34.01424008,34.01424008,0,1,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4055,64,153,106.7105263,24.5409517,4055,0.030194031,38,10.33007872,24.5409517,-236.295045,602.2583102,38,DDOS_FIN_FLOOD
40.28.167.37,192.168.1.1,1780574720,1.619675875,20,6,1.619675875,31.48778147,31.48778147,0,1,0,0,0,0,0,0,0,0,51,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5745,66,153,112.6470588,26.79685636,5745,0.032393517,51,10.61353187,26.79685636,-2.850612245,718.071511,51,DDOS_FIN_FLOOD
12.168.244.169,192.168.1.1,1780574722,0.909981966,20,6,0.909981966,30.76984055,30.76984055,0,1,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3107,66,154,110.9642857,25.45652056,3107,0.033703036,28,10.53395869,25.45652056,93.34615385,648.0344388,28,DDOS_FIN_FLOOD
186.85.192.219,192.168.1.1,1780574723,0.944822788,20,6,0.944822788,32.81038559,32.81038559,0,1,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3240,65,154,104.516129,30.01276177,3240,0.031494093,31,10.22331302,30.01276177,83.53563218,900.7658689,31,DDOS_FIN_FLOOD
162.162.127.107,192.168.1.1,1780574724,1.519169807,20,6,1.519169807,32.25445882,32.25445882,0,1,0,0,0,0,0,0,0,0,49,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5383,65,154,109.8571429,24.89160173,5383,0.031649371,49,10.48127582,24.89160173,-114.5239362,619.5918367,49,DDOS_FIN_FLOOD
2.243.25.231,192.168.1.1,1780574726,1.391364098,20,6,1.391364098,32.34236105,32.34236105,0,1,0,0,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5177,74,151,115.0444444,22.92301663,5177,0.031621911,45,10.72587733,22.92301663,-18.05285412,525.4646914,45,DDOS_FIN_FLOOD
