ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
225.230.177.26,192.168.1.1,1780744130,0.215620041,20,6,0.215620041,37.10230258,37.10230258,0,1,1,1,1,1,0,0,5,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1529,54,471,191.125,178.5549198,1529,0.030802863,8,13.82479656,178.5549198,13238.40476,31881.85938,8,DDOS_HTTP_FLOOD
75.118.179.143,192.168.1.1,1780744130,0.528588057,20,6,0.528588057,26.48565329,26.48565329,0,1,1,1,1,1,0,0,5,4,2,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2267,54,615,161.9285714,207.8273543,2267,0.04066062,14,12.72511577,207.8273543,-10325.16667,43192.20918,14,DDOS_HTTP_FLOOD
131.18.198.138,192.168.1.1,1780744131,0.912546873,20,6,0.912546873,21.91668241,21.91668241,0,1,1,1,1,1,0,0,12,2,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4584,54,487,229.2,178.7821579,4584,0.048028783,20,15.13935269,178.7821579,-1273.467836,31963.06,20,DDOS_HTTP_FLOOD
169.152.9.62,192.168.1.1,1780744132,0.88379097,20,6,0.88379097,29.41872104,29.41872104,0,1,1,1,1,1,0,0,10,10,4,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3828,54,515,147.2307692,171.7089012,3828,0.035351639,26,12.13386868,171.7089012,-9792.96,29483.94675,26,DDOS_HTTP_FLOOD
211.151.63.254,192.168.1.1,1780744133,0.403898001,20,6,0.403898001,29.7104714,29.7104714,0,1,1,1,1,1,0,0,4,6,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1373,54,463,114.4166667,136.4230298,1373,0.036718,12,10.69657266,136.4230298,-4778.409091,18611.24306,12,DDOS_HTTP_FLOOD
69.126.171.110,192.168.1.1,1780744133,0.878823996,20,6,0.878823996,23.89556965,23.89556965,0,1,1,1,1,1,0,0,11,2,10,0,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1591,54,511,75.76190476,97.32219673,1591,0.0439412,21,8.704131477,97.32219673,-549.6026316,9471.609977,21,DDOS_HTTP_FLOOD
188.70.128.241,192.168.1.1,1780744134,0.856367826,20,6,0.856367826,21.01900544,21.01900544,0,1,1,1,1,1,0,0,14,2,7,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3674,54,495,204.1111111,191.9305108,3674,0.050374578,18,14.28674599,191.9305108,-12026.51471,36837.32099,18,DDOS_HTTP_FLOOD
186.102.77.130,192.168.1.1,1780744135,0.290964127,20,6,0.290964127,24.05794859,24.05794859,0,1,1,1,1,1,0,0,1,3,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,733,54,409,104.7142857,124.2241227,733,0.048494021,7,10.23299984,124.2241227,-4200.833333,15431.63265,7,DDOS_HTTP_FLOOD
205.147.97.240,192.168.1.1,1780744135,0.651495218,20,6,0.651495218,39.90819774,39.90819774,0,1,1,1,1,1,0,0,18,2,9,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5307,54,542,204.1153846,207.4925999,5307,0.026059809,26,14.28689556,207.4925999,-14732.31333,43053.17899,26,DDOS_HTTP_FLOOD
160.87.222.78,192.168.1.1,1780744136,0.236125946,20,6,0.236125946,25.41016818,25.41016818,0,1,1,1,1,1,0,0,2,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1114,54,473,185.6666667,186.7196353,1114,0.047225189,6,13.62595562,186.7196353,-31205,34864.22222,6,DDOS_HTTP_FLOOD
20.233.92.23,192.168.1.1,1780744136,0.255703926,20,6,0.255703926,27.37541072,27.37541072,0,1,1,1,1,1,0,0,4,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1589,54,492,227,200.5442595,1589,0.042617321,7,15.06651917,200.5442595,-13756.43333,40218,7,DDOS_HTTP_FLOOD
138.221.156.162,192.168.1.1,1780744137,0.179916859,20,6,0.179916859,27.79061416,27.79061416,0,1,1,1,1,1,0,0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1039,54,493,207.8,191.4934986,1039,0.044979215,5,14.41526968,191.4934986,-990.0833333,36669.76,5,DDOS_HTTP_FLOOD
48.122.46.149,192.168.1.1,1780744137,0.832162142,20,6,0.832162142,26.43715557,26.43715557,0,1,1,1,1,1,0,0,12,5,4,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4591,54,549,208.6818182,207.3701974,4591,0.039626769,22,14.44582355,207.3701974,7899.747619,43002.39876,22,DDOS_HTTP_FLOOD
110.95.177.223,192.168.1.1,1780744138,0.535573959,20,6,0.535573959,31.74164782,31.74164782,0,1,1,1,1,1,0,0,10,3,6,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2419,54,452,142.2941176,159.361138,2419,0.033473372,17,11.92870981,159.361138,-723.9041667,25395.97232,17,DDOS_HTTP_FLOOD
135.234.184.83,192.168.1.1,1780744139,0.836210966,20,6,0.836210966,21.52566844,21.52566844,0,1,1,1,1,1,0,0,9,7,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2687,54,510,149.2777778,157.5386392,2687,0.04918888,18,12.21792854,157.5386392,-2434.327206,24818.42284,18,DDOS_HTTP_FLOOD
138.206.154.184,192.168.1.1,1780744140,1.071799994,20,6,1.071799994,23.32524739,23.32524739,0,1,1,1,1,1,0,0,13,5,7,0,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3495,54,467,139.8,154.6487633,3495,0.044658333,25,11.823705,154.6487633,-1840.228261,23916.24,25,DDOS_HTTP_FLOOD
212.78.29.11,192.168.1.1,1780744141,1.128298998,20,6,1.128298998,23.04353726,23.04353726,0,1,1,1,1,1,0,0,15,8,8,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4871,54,625,187.3461538,221.5805015,4871,0.04513196,26,13.68744512,221.5805015,3311.075,49097.91864,26,DDOS_HTTP_FLOOD
47.247.196.73,192.168.1.1,1780744142,0.824985981,20,6,0.824985981,21.81855258,21.81855258,0,1,1,1,1,1,0,0,12,6,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3984,54,524,221.3333333,210.3903779,3984,0.048528587,18,14.87727574,210.3903779,-7841.349265,44264.11111,18,DDOS_HTTP_FLOOD
53.119.114.42,192.168.1.1,1780744143,0.647624016,20,6,0.647624016,35.51443343,35.51443343,0,1,1,1,1,1,0,0,18,2,9,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4941,54,562,214.826087,204.1292541,4941,0.029437455,23,14.65694671,204.1292541,5086.984848,41668.75236,23,DDOS_HTTP_FLOOD
48.140.16.222,192.168.1.1,1780744143,0.445729971,20,6,0.445729971,33.65266188,33.65266188,0,1,1,1,1,1,0,0,9,5,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1740,54,574,116,159.3403067,1740,0.031837855,15,10.77032961,159.3403067,-4752.197802,25389.33333,15,DDOS_HTTP_FLOOD
149.247.30.150,192.168.1.1,1780744144,0.995959997,20,6,0.995959997,21.0851842,21.0851842,0,1,1,1,1,1,0,0,6,4,2,0,11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2799,54,562,133.2857143,165.3671652,2799,0.049798,21,11.54494323,165.3671652,2089.302632,27346.29932,21,DDOS_HTTP_FLOOD
183.164.42.30,192.168.1.1,1780744145,1.042766094,20,6,1.042766094,25.89267157,25.89267157,0,1,1,1,1,1,0,0,14,9,6,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4689,54,548,173.6666667,186.2924821,4689,0.040106388,27,13.17826493,186.2924821,-2541.235385,34704.88889,27,DDOS_HTTP_FLOOD
177.234.166.240,192.168.1.1,1780744146,0.748157024,20,6,0.748157024,25.3957383,25.3957383,0,1,1,1,1,1,0,0,11,6,5,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3689,54,582,194.1578947,208.7434243,3689,0.041564279,19,13.93405522,208.7434243,3441.294118,43573.81717,19,DDOS_HTTP_FLOOD
126.219.255.128,192.168.1.1,1780744147,1.292474985,20,6,1.292474985,23.21128095,23.21128095,0,1,1,1,1,1,0,0,17,6,7,0,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6349,54,610,211.6333333,225.289367,6349,0.044568103,30,14.54762294,225.289367,-2199.254926,50755.29889,30,DDOS_HTTP_FLOOD
171.179.115.191,192.168.1.1,1780744148,0.847186804,20,6,0.847186804,21.24678987,21.24678987,0,1,1,1,1,1,0,0,10,6,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3879,54,610,215.5,230.6963492,3879,0.049834518,18,14.67991826,230.6963492,-13879.875,53220.80556,18,DDOS_HTTP_FLOOD
241.99.175.241,192.168.1.1,1780744149,0.375766993,20,6,0.375766993,29.27345993,29.27345993,0,1,1,1,1,1,0,0,5,4,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2317,54,567,210.6363636,210.6782436,2317,0.037576699,11,14.51331677,210.6782436,-23164.77778,44385.32231,11,DDOS_HTTP_FLOOD
140.98.139.129,192.168.1.1,1780744150,0.700605869,20,6,0.700605869,24.26471251,24.26471251,0,1,1,1,1,1,0,0,7,2,4,0,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2384,54,607,140.2352941,188.6099397,2384,0.043787867,17,11.84209838,188.6099397,-8954.816667,35573.70934,17,DDOS_HTTP_FLOOD
