ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
140.163.87.161,192.168.1.1,1780588671,0.622164011,20,1,0.622164011,32.14586451,32.14586451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2131,60,141,106.55,24.03637868,2131,0.032745474,20,10.32230594,24.03637868,-54.29532164,577.7475,20,DDOS_ICMP_flood
183.169.220.192,192.168.1.1,1780588672,0.137234211,20,1,0.137234211,36.43406381,36.43406381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,510,58,141,102,32.50230761,510,0.034308553,5,10.09950494,32.50230761,34.16666667,1056.4,5,DDOS_ICMP_flood
155.221.87.170,192.168.1.1,1780588672,0.511857986,20,1,0.511857986,31.25867022,31.25867022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1646,56,141,102.875,25.09948954,1646,0.034123866,16,10.14273139,25.09948954,28.75238095,629.984375,16,DDOS_ICMP_flood
143.52.180.159,192.168.1.1,1780588673,0.467303038,20,1,0.467303038,34.23902417,34.23902417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1404,59,124,87.75,18.34563981,1404,0.031153536,16,9.367496998,18.34563981,-13.47619048,336.5625,16,DDOS_ICMP_flood
29.7.26.128,192.168.1.1,1780588673,1.000193119,20,1,1.000193119,29.99420755,29.99420755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3132,54,142,104.4,26.43684298,3132,0.034489418,30,10.21763182,26.43684298,61.06403941,698.9066667,30,DDOS_ICMP_flood
233.137.6.195,192.168.1.1,1780588674,0.443290949,20,1,0.443290949,31.58196673,31.58196673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1415,53,139,101.0714286,27.84001305,1415,0.034099304,14,10.0534287,27.84001305,165.7371795,775.0663265,14,DDOS_ICMP_flood
170.55.196.243,192.168.1.1,1780588675,0.836690903,20,1,0.836690903,31.07479706,31.07479706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2290,52,142,88.07692308,23.71614685,2290,0.033467636,26,9.384930638,23.71614685,126.155,562.4556213,26,DDOS_ICMP_flood
86.143.182.64,192.168.1.1,1780588676,0.349785805,20,1,0.349785805,34.30670953,34.30670953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1244,61,133,103.6666667,26.56856957,1244,0.03179871,12,10.1816829,26.56856957,-248.8909091,705.8888889,12,DDOS_ICMP_flood
27.214.50.112,192.168.1.1,1780588676,0.632250071,20,1,0.632250071,31.63305301,31.63305301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1992,56,142,99.6,29.33666648,1992,0.03327632,20,9.97997996,29.33666648,-167.6929825,860.64,20,DDOS_ICMP_flood
22.123.148.246,192.168.1.1,1780588677,0.449041843,20,1,0.449041843,33.40445934,33.40445934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1409,53,131,93.93333333,19.60430792,1409,0.032074417,15,9.691921034,19.60430792,-211.7032967,384.3288889,15,DDOS_ICMP_flood
