ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
203.178.168.2,192.168.1.1,1780688436,0.49501586,20,1,0.49501586,446.4503424,446.4503424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19782,36,90,89.51131222,4.11553822,19782,0.002250072,221,9.461041815,4.11553822,-0.237608966,16.93765484,221,DDOS_ICMP_FARGMENTATION
18.21.217.84,192.168.1.1,1780688437,0.90780592,20,1,0.90780592,175.1475691,175.1475691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,60272,65,402,379.0691824,67.61081,60272,0.005745607,159,19.46969908,67.61081,-496.3533822,4571.221629,159,DDOS_ICMP_FARGMENTATION
200.251.181.157,192.168.1.1,1780688438,0.647567034,20,1,0.647567034,435.476152,435.476152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31883,44,114,113.0602837,7.058513088,31883,0.002304509,282,10.63298094,7.058513088,-0.88243518,49.82260701,282,DDOS_ICMP_FARGMENTATION
123.239.14.25,192.168.1.1,1780688438,1.702008963,20,1,1.702008963,304.9337644,304.9337644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,74231,37,146,143.026975,14.8775103,74231,0.003285732,519,11.95938857,14.8775103,-8.273705593,221.3403128,519,DDOS_ICMP_FARGMENTATION
23.179.216.238,192.168.1.1,1780688440,1.328803062,20,1,1.328803062,152.016507,152.016507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,61620,35,322,305.049505,60.02571664,61620,0.006610961,202,17.46566646,60.02571664,-273.0682587,3603.086658,202,DDOS_ICMP_FARGMENTATION
37.128.222.50,192.168.1.1,1780688442,0.892388821,20,1,0.892388821,153.5205247,153.5205247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70310,37,538,513.2116788,82.52267378,70310,0.006561683,137,22.65417575,82.52267378,-604.103268,6809.991688,137,DDOS_ICMP_FARGMENTATION
128.152.93.180,192.168.1.1,1780688443,2.486490011,20,1,2.486490011,244.9235659,244.9235659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,87451,38,146,143.5977011,13.28928089,87451,0.004089622,609,11.98322582,13.28928089,-5.589476936,176.6049865,609,DDOS_ICMP_FARGMENTATION
122.179.24.109,192.168.1.1,1780688445,1.235674143,20,1,1.235674143,106.0150047,106.0150047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,41786,65,338,318.9770992,54.48096042,41786,0.009505186,131,17.85992999,54.48096042,-351.2872987,2968.175048,131,DDOS_ICMP_FARGMENTATION
85.255.107.93,192.168.1.1,1780688446,1.432075024,20,1,1.432075024,184.3478838,184.3478838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,65463,48,258,247.9659091,34.43266888,65463,0.005445152,264,15.74693332,34.43266888,-99.53067948,1185.608686,264,DDOS_ICMP_FARGMENTATION
250.94.93.99,192.168.1.1,1780688448,0.445237875,20,1,0.445237875,215.6150799,215.6150799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31915,60,346,332.4479167,50.18566981,31915,0.004686714,96,18.23315433,50.18566981,-153.8472564,2518.601454,96,DDOS_ICMP_FARGMENTATION
25.185.229.18,192.168.1.1,1780688448,1.625212908,20,1,1.625212908,111.3700237,111.3700237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,66980,36,394,370.0552486,72.36286125,66980,0.009028961,181,19.23682013,72.36286125,-575.8489758,5236.383688,181,DDOS_ICMP_FARGMENTATION
14.136.10.205,192.168.1.1,1780688450,3.142247915,20,1,3.142247915,428.0375184,428.0375184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,152333,35,114,113.2587361,6.228842843,152333,0.002337982,1345,10.64230877,6.228842843,-0.53357688,38.79848316,1345,DDOS_ICMP_FARGMENTATION
5.102.18.205,192.168.1.1,1780688453,0.387670994,20,1,0.387670994,319.8588545,319.8588545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,43603,36,362,351.6370968,47.43575191,43603,0.003151797,124,18.75198914,47.43575191,-82.12148474,2250.150559,124,DDOS_ICMP_FARGMENTATION
141.131.177.63,192.168.1.1,1780688454,0.756116867,20,1,0.756116867,134.8997813,134.8997813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,43860,145,458,430,75.38190348,43860,0.007486306,102,20.73644135,75.38190348,-726.1592079,5682.431373,102,DDOS_ICMP_FARGMENTATION
152.15.170.27,192.168.1.1,1780688455,1.865921974,20,1,1.865921974,399.2664272,399.2664272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,101916,36,138,136.8,9.137664513,101916,0.00250796,745,11.69615321,9.137664513,-1.363337385,83.49691275,745,DDOS_ICMP_FARGMENTATION
139.7.132.75,192.168.1.1,1780688457,0.709592104,20,1,0.709592104,369.2262055,369.2262055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56162,38,218,214.3587786,21.70062394,56162,0.002718744,262,14.6409965,21.70062394,-12.59628647,470.9170794,262,DDOS_ICMP_FARGMENTATION
20.60.249.164,192.168.1.1,1780688457,0.602329969,20,1,0.602329969,159.3810783,159.3810783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,38253,90,426,398.46875,79.19740015,38253,0.006340315,96,19.96168204,79.19740015,-698.1900336,6272.22819,96,DDOS_ICMP_FARGMENTATION
60.182.104.204,192.168.1.1,1780688458,1.495404005,20,1,1.495404005,104.9883506,104.9883506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,74379,48,514,473.7515924,102.5909356,74379,0.009585923,157,21.76583544,102.5909356,-1572.955376,10524.90008,157,DDOS_ICMP_FARGMENTATION
168.127.164.171,192.168.1.1,1780688460,1.106212139,20,1,1.106212139,185.3170769,185.3170769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69343,48,354,338.2585366,57.01815276,69343,0.005422609,205,18.39180623,57.01815276,-227.928499,3251.069744,205,DDOS_ICMP_FARGMENTATION
203.240.20.2,192.168.1.1,1780688461,1.834764004,20,1,1.834764004,325.9274756,325.9274756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,150583,35,258,251.8110368,31.71976076,150583,0.003073307,598,15.86855497,31.71976076,-36.61349252,1006.143223,598,DDOS_ICMP_FARGMENTATION
125.53.9.99,192.168.1.1,1780688463,1.306384087,20,1,1.306384087,144.6741444,144.6741444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,77933,59,442,412.3439153,85.88957613,77933,0.006948852,189,20.30625311,85.88957613,-844.0343042,7377.019288,189,DDOS_ICMP_FARGMENTATION
223.202.119.132,192.168.1.1,1780688464,1.011250019,20,1,1.011250019,121.6316417,121.6316417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56810,51,514,461.8699187,122.3108767,56810,0.008288935,123,21.49115908,122.3108767,-2620.0504,14959.95056,123,DDOS_ICMP_FARGMENTATION
