ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
102.126.14.129,192.168.1.1,1780650028,1.148550034,20,59,1.148550034,20.02524864,20.02524864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6330,208,350,275.2173913,43.3398667,6330,0.05220682,23,16.58967725,43.3398667,-165.2792208,1878.344045,23,DDOS_RAW_IP_FLOOD
229.127.74.54,192.168.1.1,1780650029,0.942217827,20,143,0.942217827,28.65579405,28.65579405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7774,169,368,287.9259259,57.33263948,7774,0.036239147,27,16.96838018,57.33263948,-747.44,3287.03155,27,DDOS_RAW_IP_FLOOD
191.205.137.254,192.168.1.1,1780650030,0.346847057,20,63,0.346847057,31.71426647,31.71426647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5389,244,800,489.9090909,184.0916049,5389,0.034684706,11,22.1338901,184.0916049,5173.488889,33889.71901,11,DDOS_RAW_IP_FLOOD
48.202.97.21,192.168.1.1,1780650030,0.675774097,20,59,0.675774097,22.19676673,22.19676673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13964,436,1300,930.9333333,287.9299606,13964,0.048269578,15,30.51120013,287.9299606,4674.115385,82903.66222,15,DDOS_RAW_IP_FLOOD
91.151.122.246,192.168.1.1,1780650031,1.475807905,20,63,1.475807905,20.32784883,20.32784883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24049,290,1295,801.6333333,334.9887046,24049,0.050889928,30,28.31313005,334.9887046,25210.17734,112217.4322,30,DDOS_RAW_IP_FLOOD
74.100.210.203,192.168.1.1,1780650033,0.91664505,20,253,0.91664505,26.18243561,26.18243561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7703,188,424,320.9583333,73.7955956,7703,0.039854133,24,17.91531003,73.7955956,799.4229249,5445.789931,24,DDOS_RAW_IP_FLOOD
61.226.104.229,192.168.1.1,1780650034,1.252002954,20,63,1.252002954,18.37056368,18.37056368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12098,188,893,526,223.689031,12098,0.056909225,23,22.93468988,223.689031,-20557.20779,50036.78261,23,DDOS_RAW_IP_FLOOD
43.223.84.88,192.168.1.1,1780650035,1.363430023,20,78,1.363430023,21.26988515,21.26988515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11122,204,538,383.5172414,102.9119546,11122,0.048693929,29,19.58359623,102.9119546,-1970.828042,10590.87039,29,DDOS_RAW_IP_FLOOD
40.107.69.22,192.168.1.1,1780650036,0.672315121,20,253,0.672315121,29.74795506,29.74795506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14491,132,1122,724.55,305.3423448,14491,0.035385006,20,26.91746645,305.3423448,4778.435673,93233.9475,20,DDOS_RAW_IP_FLOOD
182.104.156.74,192.168.1.1,1780650037,0.229360819,20,254,0.229360819,34.87954063,34.87954063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2442,165,446,305.25,88.90127952,2442,0.032765831,8,17.47140521,88.90127952,1013.761905,7903.4375,8,DDOS_RAW_IP_FLOOD
66.130.213.34,192.168.1.1,1780650038,0.589614153,20,254,0.589614153,33.92048834,33.92048834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7238,256,507,361.9,77.37822691,7238,0.031032324,20,19.02366947,77.37822691,-783.0906433,5987.39,20,DDOS_RAW_IP_FLOOD
25.70.21.30,192.168.1.1,1780650038,1.355329037,20,143,1.355329037,22.13484636,22.13484636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5550,103,257,185,45.72964028,5550,0.046735484,30,13.60147051,45.72964028,-553.0628079,2091.2,30,DDOS_RAW_IP_FLOOD
84.197.95.74,192.168.1.1,1780650040,0.767953157,20,63,0.767953157,18.23027858,18.23027858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11918,92,1206,851.2857143,320.7754953,11918,0.05907332,14,29.17680096,320.7754953,-14397.54487,102896.9184,14,DDOS_RAW_IP_FLOOD
28.162.181.173,192.168.1.1,1780650040,1.343179941,20,253,1.343179941,20.84605282,20.84605282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17957,321,1010,641.3214286,224.8963338,17957,0.049747405,28,25.32432484,224.8963338,5611.076923,50578.36097,28,DDOS_RAW_IP_FLOOD
141.113.11.193,192.168.1.1,1780650042,1.318423986,20,253,1.318423986,21.23747769,21.23747769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12285,210,653,438.75,134.451963,12285,0.048830518,28,20.94636007,134.451963,2015.846154,18077.33036,28,DDOS_RAW_IP_FLOOD
219.17.125.100,192.168.1.1,1780650043,1.287478924,20,254,1.287478924,20.19450534,20.19450534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8680,130,535,333.8461538,124.021925,8680,0.051499157,26,18.27145735,124.021925,1883.721667,15381.43787,26,DDOS_RAW_IP_FLOOD
136.248.129.64,192.168.1.1,1780650045,0.443199873,20,59,0.443199873,33.84477504,33.84477504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11149,172,1292,743.2666667,291.4017769,11149,0.031657134,15,27.26291743,291.4017769,1286.994505,84914.99556,15,DDOS_RAW_IP_FLOOD
158.96.78.154,192.168.1.1,1780650045,0.743266106,20,253,0.743266106,18.83578424,18.83578424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4829,101,626,344.9285714,181.4577732,4829,0.057174316,14,18.57225273,181.4577732,-16421.49359,32926.92347,14,DDOS_RAW_IP_FLOOD
74.183.192.244,192.168.1.1,1780650046,0.953127861,20,253,0.953127861,20.98354357,20.98354357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4016,160,256,200.8,32.29489124,4016,0.050164624,20,14.17039167,32.29489124,244,1042.96,20,DDOS_RAW_IP_FLOOD
164.15.216.222,192.168.1.1,1780650047,0.724222898,20,63,0.724222898,31.75817838,31.75817838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10795,229,642,469.3478261,104.0683758,10795,0.032919223,23,21.6644369,104.0683758,-1081.095238,10830.22684,23,DDOS_RAW_IP_FLOOD
107.172.109.193,192.168.1.1,1780650048,0.311733007,20,59,0.311733007,25.66298662,25.66298662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6713,192,1404,839.125,371.3860651,6713,0.044533287,8,28.96765438,371.3860651,53550.80952,137927.6094,8,DDOS_RAW_IP_FLOOD
95.79.101.252,192.168.1.1,1780650048,0.750754833,20,59,0.750754833,26.63985514,26.63985514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13884,204,1070,694.2,259.3782181,13884,0.039513412,20,26.34767542,259.3782181,-221.7660819,67277.06,20,DDOS_RAW_IP_FLOOD
96.121.182.151,192.168.1.1,1780650049,1.041292191,20,253,1.041292191,20.16725007,20.16725007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14720,186,1187,700.952381,342.9813928,14720,0.05206461,21,26.4755053,342.9813928,17055.96842,117636.2358,21,DDOS_RAW_IP_FLOOD
172.87.188.113,192.168.1.1,1780650050,1.621357918,20,253,1.621357918,17.88624195,17.88624195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13466,93,901,464.3448276,267.3432865,13466,0.05790564,29,21.54866185,267.3432865,18930.90741,71472.43282,29,DDOS_RAW_IP_FLOOD
216.197.22.216,192.168.1.1,1780650052,0.275152922,20,59,0.275152922,21.80605593,21.80605593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5606,438,1168,934.3333333,271.1584203,5606,0.055030584,6,30.56686659,271.1584203,-45257.05,73526.88889,6,DDOS_RAW_IP_FLOOD
177.215.134.41,192.168.1.1,1780650052,1.258828878,20,143,1.258828878,23.83167444,23.83167444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18607,203,944,620.2333333,224.2560565,18607,0.043407892,30,24.9044842,224.2560565,-9108.424877,50290.77889,30,DDOS_RAW_IP_FLOOD
