ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
204.35.226.54,192.168.1.1,1780658953,4.461756945,20,1,4.461756945,107.3568117,107.3568117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,569232,108,1202,1188.375783,105.9726435,569232,0.00933422,479,34.47282673,105.9726435,-156.8488549,11230.20117,479,DDOS_PING_OF_DEATH
87.59.240.65,192.168.1.1,1780658958,3.699488878,20,1,3.699488878,156.5081067,156.5081067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,758200,73,1322,1309.499136,101.7366368,758200,0.0064005,579,36.18700231,101.7366368,-139.1363814,10350.34326,579,DDOS_PING_OF_DEATH
164.228.5.237,192.168.1.1,1780658961,6.33266902,20,1,6.33266902,113.538225,113.538225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,640967,68,898,891.4700974,62.26777282,640967,0.008819873,719,29.8574965,62.26777282,-37.34615564,3877.275531,719,DDOS_PING_OF_DEATH
230.68.1.73,192.168.1.1,1780658968,9.311573982,20,1,9.311573982,125.972258,125.972258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,656214,74,562,559.4322251,30.76384574,656214,0.007945029,1173,23.65231966,30.76384574,-6.217517772,946.4142045,1173,DDOS_PING_OF_DEATH
78.138.208.199,192.168.1.1,1780658978,3.488958836,20,1,3.488958836,82.83273424,82.83273424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,313800,44,1098,1085.813149,95.94119288,313800,0.01211444,289,32.951679,95.94119288,-105.1623113,9204.712491,289,DDOS_PING_OF_DEATH
154.185.110.144,192.168.1.1,1780658982,5.478879929,20,1,5.478879929,110.2415107,110.2415107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,576339,45,962,954.2036424,75.50586522,576339,0.009086036,604,30.89018683,75.50586522,-53.36778455,5701.135682,604,DDOS_PING_OF_DEATH
207.31.6.176,192.168.1.1,1780658988,4.326475859,20,1,4.326475859,109.5579903,109.5579903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,570868,132,1218,1204.362869,107.8244744,570868,0.009146883,474,34.70393161,107.8244744,-169.1452324,11626.11727,474,DDOS_PING_OF_DEATH
82.210.17.220,192.168.1.1,1780658992,8.995868921,20,1,8.995868921,239.6655641,239.6655641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1001653,62,466,464.58859,19.56363101,1001653,0.004174417,2156,21.5543172,19.56363101,-1.978464283,382.7356583,2156,DDOS_PING_OF_DEATH
82.147.25.94,192.168.1.1,1780659001,1.976592779,20,1,1.976592779,174.0368596,174.0368596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,378437,39,1114,1100.107558,107.2775012,378437,0.005762661,344,33.16786936,107.2775012,-157.3770907,11508.46227,344,DDOS_PING_OF_DEATH
139.181.227.213,192.168.1.1,1780659004,2.708983183,20,1,2.708983183,118.1255026,118.1255026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,442602,52,1402,1383.13125,141.1544421,442602,0.00849211,320,37.19047257,141.1544421,-315.3459514,19924.57652,320,DDOS_PING_OF_DEATH
164.239.233.60,192.168.1.1,1780659007,4.157320023,20,1,4.157320023,171.9857976,171.9857976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,763541,80,1074,1067.88951,55.61531549,763541,0.005822577,715,32.67857877,55.61531549,-35.91614907,3093.063317,715,DDOS_PING_OF_DEATH
137.177.238.94,192.168.1.1,1780659011,7.268164158,20,1,7.268164158,92.73318342,92.73318342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,878826,38,1322,1303.896142,134.8887481,878826,0.01079965,674,36.10950211,134.8887481,-301.3698879,18194.97438,674,DDOS_PING_OF_DEATH
187.189.221.64,192.168.1.1,1780659018,8.155152082,20,1,8.155152082,135.7424103,135.7424103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,960315,78,874,867.4932249,61.92686408,960315,0.007373555,1107,29.45323794,61.92686408,-41.10341944,3834.936494,1107,DDOS_PING_OF_DEATH
204.236.178.137,192.168.1.1,1780659027,7.982047081,20,1,7.982047081,81.056901,81.056901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,882333,130,1378,1363.729521,116.9139082,882333,0.01235611,647,36.92870863,116.9139082,-176.9397965,13668.86193,647,DDOS_PING_OF_DEATH
110.152.151.171,192.168.1.1,1780659035,6.453568935,20,1,6.453568935,254.1229537,254.1229537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,983349,49,602,599.6030488,31.13858269,983349,0.003937504,1640,24.48679335,31.13858269,-5.62265475,969.6113322,1640,DDOS_PING_OF_DEATH
108.51.146.232,192.168.1.1,1780659042,11.08492017,20,1,11.08492017,117.4568676,117.4568676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,656413,74,506,504.1574501,23.93688454,656413,0.008520308,1302,22.45345074,23.93688454,-3.053891681,572.9744414,1302,DDOS_PING_OF_DEATH
219.196.110.126,192.168.1.1,1780659053,9.735466957,20,1,9.735466957,184.3773912,184.3773912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,862004,67,482,480.2250696,23.44634213,862004,0.005426682,1795,21.91403819,23.44634213,-2.773326966,549.7309593,1795,DDOS_PING_OF_DEATH
114.231.60.142,192.168.1.1,1780659063,5.164264202,20,1,5.164264202,112.310288,112.310288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,758014,61,1322,1306.92069,117.6114757,758014,0.008919282,580,36.15135806,117.6114757,-215.8915742,13832.45923,580,DDOS_PING_OF_DEATH
144.93.26.194,192.168.1.1,1780659069,8.968436956,20,1,8.968436956,198.919835,198.919835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,984301,49,554,551.7382287,29.27577582,984301,0.00502997,1784,23.48910873,29.27577582,-4.670853232,857.0710498,1784,DDOS_PING_OF_DEATH
