ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
103.83.92.29,192.168.1.1,1780684560,0.756976128,20,6,0.756976128,25.09986683,25.09986683,0,0,0,0,1,1,0,0,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10126,382,639,532.9473684,77.75093412,10126,0.042054229,19,23.08565287,77.75093412,-1091.124183,6045.207756,19,DDOS_PSH_ACK_FLOOD
162.164.184.9,192.168.1.1,1780684561,1.825953007,20,6,1.825953007,14.78679895,14.78679895,0,0,0,0,1,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,16549,234,1051,612.9259259,225.9295082,16549,0.070228962,27,24.75734085,225.9295082,-542.6815385,51044.14266,27,DDOS_PSH_ACK_FLOOD
155.186.207.210,192.168.1.1,1780684563,1.288493156,20,6,1.288493156,16.29810752,16.29810752,0,0,0,0,1,1,0,0,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,16156,260,1158,769.3333333,240.1668732,16156,0.064424658,21,27.73685875,240.1668732,-21394.90789,57680.12698,21,DDOS_PSH_ACK_FLOOD
71.78.60.187,192.168.1.1,1780684564,0.380197048,20,6,0.380197048,21.04172044,21.04172044,0,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5674,441,867,709.25,146.3059722,5674,0.054313864,8,26.63174797,146.3059722,-17382.88095,21405.4375,8,DDOS_PSH_ACK_FLOOD
33.219.25.244,192.168.1.1,1780684565,1.149389982,20,6,1.149389982,23.49072153,23.49072153,0,0,0,0,1,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,13875,397,643,513.8888889,79.63031869,13875,0.044207307,27,22.66911751,79.63031869,-2289.36,6340.987654,27,DDOS_PSH_ACK_FLOOD
218.154.12.34,192.168.1.1,1780684566,0.199183941,20,6,0.199183941,25.10242531,25.10242531,0,0,0,0,1,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4510,599,1210,902,222.1233891,4510,0.049795985,5,30.03331484,222.1233891,-59147.16667,49338.8,5,DDOS_PSH_ACK_FLOOD
97.126.138.228,192.168.1.1,1780684566,0.556400061,20,6,0.556400061,23.36448343,23.36448343,0,0,0,0,1,1,0,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,11509,449,1258,885.3076923,236.5506563,11509,0.046366672,13,29.75412059,236.5506563,-15076.18182,55956.21302,13,DDOS_PSH_ACK_FLOOD
116.21.117.155,192.168.1.1,1780684567,0.576714039,20,6,0.576714039,27.74338567,27.74338567,0,0,0,0,1,1,0,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10823,377,981,676.4375,173.5500536,10823,0.038447603,16,26.0084121,173.5500536,-0.714285714,30119.62109,16,DDOS_PSH_ACK_FLOOD
183.55.195.65,192.168.1.1,1780684567,0.343860865,20,6,0.343860865,23.26522388,23.26522388,0,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5440,360,928,680,181.604653,5440,0.049122981,8,26.07680962,181.604653,-17609.04762,32980.25,8,DDOS_PSH_ACK_FLOOD
6.250.204.133,192.168.1.1,1780684568,0.33930707,20,6,0.33930707,23.57746334,23.57746334,0,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4895,407,746,611.875,116.8433112,4895,0.048472439,8,24.73610721,116.8433112,-4795.642857,13652.35938,8,DDOS_PSH_ACK_FLOOD
