ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
60.7.40.212,192.168.1.1,1780583221,0.823765039,20,6,0.823765039,31.56239796,31.56239796,0,1,0,1,0,0,0,0,0,0,26,0,26,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2612,64,144,100.4615385,24.69542276,2612,0.032950602,26,10.02305036,24.69542276,78.14333333,609.8639053,26,DDOS_RST_FIN_flood
249.174.246.150,192.168.1.1,1780583222,0.337063074,20,6,0.337063074,35.60164528,35.60164528,0,1,0,1,0,0,0,0,0,0,12,0,12,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1381,71,152,115.0833333,27.21047082,1381,0.030642098,12,10.72769003,27.21047082,297.7,740.4097222,12,DDOS_RST_FIN_flood
29.37.221.168,192.168.1.1,1780583223,0.155609846,20,6,0.155609846,32.13164285,32.13164285,0,1,0,1,0,0,0,0,0,0,5,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,609,70,151,121.8,34.0728631,609,0.038902462,5,11.03630373,34.0728631,-876.8333333,1160.96,5,DDOS_RST_FIN_flood
146.155.158.79,192.168.1.1,1780583223,0.771392822,20,6,0.771392822,32.40890929,32.40890929,0,1,0,1,0,0,0,0,0,0,25,0,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2795,67,150,111.8,22.42676972,2795,0.032141368,25,10.57355191,22.42676972,50.01086957,502.96,25,DDOS_RST_FIN_flood
154.2.175.105,192.168.1.1,1780583224,0.886113882,20,6,0.886113882,31.59864727,31.59864727,0,1,0,1,0,0,0,0,0,0,28,0,28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2983,66,154,106.5357143,25.43546756,2983,0.032819033,28,10.32161394,25.43546756,141.988604,646.9630102,28,DDOS_RST_FIN_flood
95.2.42.131,192.168.1.1,1780583225,0.683444023,20,6,0.683444023,29.26355242,29.26355242,0,1,0,1,0,0,0,0,0,0,20,0,20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2252,76,148,112.6,24.29897117,2252,0.035970738,20,10.61131472,24.29897117,-126.1081871,590.44,20,DDOS_RST_FIN_flood
93.219.224.27,192.168.1.1,1780583225,0.519412041,20,6,0.519412041,30.80406064,30.80406064,0,1,0,1,0,0,0,0,0,0,16,0,16,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1859,68,153,116.1875,25.42935988,1859,0.034627469,16,10.77903057,25.42935988,-112.2761905,646.6523438,16,DDOS_RST_FIN_flood
244.198.171.4,192.168.1.1,1780583226,0.682337999,20,6,0.682337999,33.70763467,33.70763467,0,1,0,1,0,0,0,0,0,0,23,0,23,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2853,75,154,124.0434783,22.63986146,2853,0.031015364,23,11.13748079,22.63986146,-134.8181818,512.563327,23,DDOS_RST_FIN_flood
197.55.137.105,192.168.1.1,1780583227,0.615833998,20,6,0.615833998,29.22865588,29.22865588,0,1,0,1,0,0,0,0,0,0,18,0,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1861,64,151,103.3888889,28.60873777,1861,0.036225529,18,10.1680327,28.60873777,-226.3786765,818.4598765,18,DDOS_RST_FIN_flood
133.214.195.189,192.168.1.1,1780583227,0.901849031,20,6,0.901849031,27.72082591,27.72082591,0,1,0,1,0,0,0,0,0,0,25,0,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2823,72,154,112.92,23.60155927,2823,0.037577043,25,10.62638226,23.60155927,45.67391304,557.0336,25,DDOS_RST_FIN_flood
