ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
155.69.183.251,192.168.1.1,1780579660,2.220275879,20,6,2.220275879,32.42840256,32.42840256,0,0,0,1,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7626,64,154,105.9166667,25.10962078,7626,0.031271491,72,10.29158232,25.10962078,-59.72595573,630.4930556,72,DDOS_RST_FLOOD
172.82.228.204,192.168.1.1,1780579662,0.687227011,20,6,0.687227011,32.01271146,32.01271146,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2330,71,153,105.9090909,26.00333736,2330,0.032725096,22,10.29121426,26.00333736,5.733333333,676.1735537,22,DDOS_RST_FLOOD
65.16.24.56,192.168.1.1,1780579663,2.372177124,20,6,2.372177124,31.19497244,31.19497244,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7991,64,154,107.9864865,26.48839279,7991,0.032495577,74,10.39165466,26.48839279,-9.39326484,701.6349525,74,DDOS_RST_FLOOD
28.170.47.167,192.168.1.1,1780579665,2.125773191,20,6,2.125773191,31.98836088,31.98836088,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7594,65,154,111.6764706,24.6005985,7594,0.031727958,68,10.56770886,24.6005985,-52.52736318,605.1894464,68,DDOS_RST_FLOOD
58.222.21.158,192.168.1.1,1780579667,1.207731009,20,6,1.207731009,31.46395988,31.46395988,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3942,64,153,103.7368421,24.23968496,3942,0.032641379,38,10.18512848,24.23968496,-111.5555556,587.5623269,38,DDOS_RST_FLOOD
90.51.149.73,192.168.1.1,1780579669,1.652043104,20,6,1.652043104,32.68679846,32.68679846,0,0,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6243,64,154,115.6111111,26.18553224,6243,0.031170625,54,10.75226074,26.18553224,-130.8577649,685.6820988,54,DDOS_RST_FLOOD
161.225.74.176,192.168.1.1,1780579670,0.104282141,20,6,0.104282141,38.35747878,38.35747878,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,470,86,144,117.5,25.86020108,470,0.034760714,4,10.83974169,25.86020108,-422,668.75,4,DDOS_RST_FLOOD
171.162.101.137,192.168.1.1,1780579671,0.323488951,20,6,0.323488951,34.00425262,34.00425262,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1172,67,154,106.5454545,26.51367961,1172,0.032348895,11,10.32208577,26.51367961,199.3111111,702.9752066,11,DDOS_RST_FLOOD
180.132.216.82,192.168.1.1,1780579671,0.547147989,20,6,0.547147989,32.89786375,32.89786375,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1859,71,143,103.2777778,23.66855757,1859,0.032185176,18,10.16256748,23.66855757,-221.4007353,560.2006173,18,DDOS_RST_FLOOD
121.164.31.13,192.168.1.1,1780579672,1.323503017,20,6,1.323503017,32.48953681,32.48953681,0,0,0,1,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4599,69,153,106.9534884,25.78529731,4599,0.031511977,43,10.34183196,25.78529731,44.60278746,664.8815576,43,DDOS_RST_FLOOD
144.205.179.79,192.168.1.1,1780579673,1.886473179,20,6,1.886473179,30.21511286,30.21511286,0,0,0,1,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6106,66,154,107.122807,25.45589249,6106,0.033687021,57,10.35001483,25.45589249,-137.6022727,648.0024623,57,DDOS_RST_FLOOD
192.100.224.65,192.168.1.1,1780579675,1.025865793,20,6,1.025865793,31.19316407,31.19316407,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3464,64,153,108.25,28.77173092,3464,0.033092445,32,10.40432602,28.77173092,-248.7215054,827.8125,32,DDOS_RST_FLOOD
214.109.254.88,192.168.1.1,1780579676,1.287705898,20,6,1.287705898,32.61614322,32.61614322,0,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4634,64,153,110.3333333,25.01586798,4634,0.031407461,42,10.5039675,25.01586798,56.3,625.7936508,42,DDOS_RST_FLOOD
125.255.10.77,192.168.1.1,1780579677,0.374716997,20,6,0.374716997,29.35548716,29.35548716,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1135,67,150,103.1818182,26.60764819,1135,0.0374717,11,10.15784515,26.60764819,-254.9444444,707.9669421,11,DDOS_RST_FLOOD
