ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
63.193.242.253,192.168.1.1,1780566162,0.365916014,20,6,0.365916014,32.7944106,32.7944106,0,0,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1332,69,147,111,28.49853797,1332,0.033265092,12,10.53565375,28.49853797,273.9181818,812.1666667,12,DDOS_SYN_FLOOD
159.185.255.116,192.168.1.1,1780566162,0.284916878,20,6,0.284916878,38.60775145,38.60775145,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1091,64,152,99.18181818,24.38635305,1091,0.028491688,11,9.959006887,24.38635305,-0.644444444,594.6942149,11,DDOS_SYN_FLOOD
207.239.121.120,192.168.1.1,1780566162,0.495085955,20,6,0.495085955,32.3176205,32.3176205,0,0,1,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1882,73,147,117.625,26.6173698,1882,0.03300573,16,10.84550598,26.6173698,-241.8142857,708.484375,16,DDOS_SYN_FLOOD
221.195.17.11,192.168.1.1,1780566163,0.532732964,20,6,0.532732964,33.78803497,33.78803497,0,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1857,67,148,103.1666667,27.53633963,1857,0.031337233,18,10.15709932,27.53633963,-106.3897059,758.25,18,DDOS_SYN_FLOOD
88.76.92.97,192.168.1.1,1780566163,0.493112087,20,6,0.493112087,34.47492049,34.47492049,0,0,1,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1843,64,150,108.4117647,21.67150155,1843,0.030819505,17,10.41209704,21.67150155,-11.34583333,469.6539792,17,DDOS_SYN_FLOOD
163.15.124.153,192.168.1.1,1780566164,0.320113897,20,6,0.320113897,37.48665741,37.48665741,0,0,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1322,64,152,110.1666667,30.85134609,1322,0.029101263,12,10.496031,30.85134609,-213.0454545,951.8055556,12,DDOS_SYN_FLOOD
82.123.209.87,192.168.1.1,1780566164,0.331451893,20,6,0.331451893,36.20434898,36.20434898,0,0,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1292,65,144,107.6666667,26.39233896,1292,0.03013199,12,10.37625494,26.39233896,199.9909091,696.5555556,12,DDOS_SYN_FLOOD
68.40.9.19,192.168.1.1,1780566165,0.357232094,20,6,0.357232094,30.79230615,30.79230615,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1229,69,151,111.7272727,29.80875683,1229,0.035723209,11,10.57011224,29.80875683,-200.6,888.5619835,11,DDOS_SYN_FLOOD
224.76.102.115,192.168.1.1,1780566165,0.11173296,20,6,0.11173296,44.74955296,44.74955296,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,584,89,144,116.8,22.88580346,584,0.02793324,5,10.80740487,22.88580346,-96,523.76,5,DDOS_SYN_FLOOD
93.255.15.216,192.168.1.1,1780566165,0.803786039,20,6,0.803786039,28.61458009,28.61458009,0,0,1,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2656,69,153,115.4782609,25.99643716,2656,0.036535729,23,10.74608119,25.99643716,39.15584416,675.8147448,23,DDOS_SYN_FLOOD
36.21.6.228,192.168.1.1,1780566166,0.770461798,20,6,0.770461798,29.85222638,29.85222638,0,0,1,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2584,69,152,112.3478261,23.97572812,2584,0.035020991,23,10.59942574,23.97572812,-48.75541126,574.8355388,23,DDOS_SYN_FLOOD
