ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
134.101.25.217,192.168.1.1,1780668296,0.452422142,20,6,0.452422142,30.94455089,30.94455089,0,0,0,1,0,1,0,0,14,0,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2735,109,312,195.3571429,58.46074036,2735,0.034801703,14,13.97702196,58.46074036,60.16666667,3417.658163,14,DDOS_TCP_flood
30.127.245.46,192.168.1.1,1780668296,0.440542936,20,6,0.440542936,27.23911567,27.23911567,0,0,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6329,171,964,527.4166667,254.8265614,6329,0.040049358,12,22.96555392,254.8265614,-28197.27273,64936.57639,12,DDOS_TCP_flood
65.144.75.179,192.168.1.1,1780668297,0.897901058,20,6,0.897901058,31.18383673,31.18383673,0,1,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2367,56,118,84.53571429,21.55637483,2367,0.033255595,28,9.194330551,21.55637483,33.03276353,464.6772959,28,DDOS_TCP_flood
7.34.124.244,192.168.1.1,1780668298,0.319715977,20,6,0.319715977,21.8944329,21.8944329,0,0,0,1,0,1,0,0,7,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3138,147,734,448.2857143,182.6141242,3138,0.053285996,7,21.17275878,182.6141242,9581.1,33347.91837,7,DDOS_TCP_flood
5.184.216.137,192.168.1.1,1780668298,0.907490015,20,6,0.907490015,22.03880998,22.03880998,0,1,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7193,111,543,359.65,120.2028598,7193,0.047762632,20,18.96444041,120.2028598,-751.7865497,14448.7275,20,DDOS_TCP_flood
14.45.113.85,192.168.1.1,1780668299,1.063215971,20,6,1.063215971,26.33519507,26.33519507,0,0,0,0,1,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14479,136,818,517.1071429,225.4244155,14479,0.039378369,28,22.73998995,225.4244155,15863.09259,50816.16709,28,DDOS_TCP_flood
39.197.91.140,192.168.1.1,1780668300,0.947026014,20,6,0.947026014,31.67811607,31.67811607,0,0,1,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,13002,135,760,433.4,212.8779932,13002,0.032656069,30,20.81826121,212.8779932,-7221.155172,45317.04,30,DDOS_TCP_flood
210.20.23.210,192.168.1.1,1780668301,0.500983953,20,6,0.500983953,33.93322258,33.93322258,0,0,0,0,1,1,0,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6291,112,685,370.0588235,188.3193379,6291,0.031311497,17,19.23691305,188.3193379,-19615.04583,35464.17301,17,DDOS_TCP_flood
172.228.173.215,192.168.1.1,1780668302,0.427869081,20,6,0.427869081,25.7087985,25.7087985,0,1,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5894,194,1274,535.8181818,355.7945828,5894,0.042786908,11,23.1477468,355.7945828,-180.5555556,126589.7851,11,DDOS_TCP_flood
220.7.57.217,192.168.1.1,1780668302,0.888971806,20,6,0.888971806,30.37216685,30.37216685,0,0,0,0,1,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15679,157,963,580.7037037,253.7506526,15679,0.034191223,27,24.09779458,253.7506526,12261.25231,64389.39369,27,DDOS_TCP_flood
