ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
179.60.159.224,192.168.1.1,1780638417,1.185148954,20,17,1.185148954,21.93817064,21.93817064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19450,123,1422,748.0769231,387.1947356,19450,0.047405958,26,27.35099492,387.1947356,-18012.275,149919.7633,26,DDOS_UDP_flood
137.57.231.16,192.168.1.1,1780638419,0.592968941,20,17,0.592968941,25.29643455,25.29643455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2414,67,291,160.9333333,70.75730037,2414,0.042354924,15,12.68595023,70.75730037,753.5274725,5006.595556,15,DDOS_UDP_flood
121.42.225.19,192.168.1.1,1780638419,1.351597071,20,17,1.351597071,17.75677125,17.75677125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16420,72,1278,684.1666667,395.7801017,16420,0.05876509,24,26.1565798,395.7801017,24953.73123,156641.8889,24,DDOS_UDP_flood
110.197.173.85,192.168.1.1,1780638421,0.676288843,20,17,0.676288843,17.74389763,17.74389763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6266,141,778,522.1666667,198.9287282,6266,0.061480804,12,22.85096643,198.9287282,21793.06364,39572.63889,12,DDOS_UDP_flood
102.220.30.11,192.168.1.1,1780638422,0.239983082,20,17,0.239983082,29.16872284,29.16872284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3661,234,735,523,190.0481142,3661,0.03999718,7,22.86919325,190.0481142,-8861,36118.28571,7,DDOS_UDP_flood
32.126.12.3,192.168.1.1,1780638422,0.442416906,20,17,0.442416906,22.60311452,22.60311452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1958,113,285,195.8,59.17905035,1958,0.049157434,10,13.99285532,59.17905035,98.19444444,3502.16,10,DDOS_UDP_flood
63.133.0.55,192.168.1.1,1780638422,0.951972008,20,17,0.951972008,23.10992321,23.10992321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7092,88,498,322.3636364,141.8150349,7092,0.045332,22,17.95448792,141.8150349,1015.72381,20111.50413,22,DDOS_UDP_flood
253.165.116.141,192.168.1.1,1780638423,1.003192902,20,17,1.003192902,17.94271069,17.94271069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2484,59,213,138,53.12982004,2484,0.059011347,18,11.74734012,53.12982004,451.4007353,2822.777778,18,DDOS_UDP_flood
178.0.110.175,192.168.1.1,1780638425,0.18045783,20,17,0.18045783,33.24876502,33.24876502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1930,127,547,321.6666667,164.2109077,1930,0.036091566,6,17.93506807,164.2109077,-12413.95,26965.22222,6,DDOS_UDP_flood
5.119.239.218,192.168.1.1,1780638425,0.23569417,20,17,0.23569417,33.94229055,33.94229055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1083,94,182,135.375,31.9293654,1083,0.033670596,8,11.63507628,31.9293654,-168.6904762,1019.484375,8,DDOS_UDP_flood
25.39.89.75,192.168.1.1,1780638425,1.077982187,20,17,1.077982187,23.19147783,23.19147783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9936,84,785,397.44,238.803196,9936,0.044915924,25,19.93589727,238.803196,-23488.31522,57026.9664,25,DDOS_UDP_flood
141.2.40.161,192.168.1.1,1780638426,1.329257011,20,17,1.329257011,21.81669892,21.81669892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12115,91,725,417.7586207,223.1530564,12115,0.047473465,29,20.43914432,223.1530564,-19816.90741,49797.28656,29,DDOS_UDP_flood
43.52.94.11,192.168.1.1,1780638428,0.71026516,20,17,0.71026516,21.11887342,21.11887342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6223,224,705,414.8666667,155.5072846,6223,0.050733226,15,20.36827599,155.5072846,-339.0769231,24182.51556,15,DDOS_UDP_flood
102.130.220.176,192.168.1.1,1780638428,0.409184217,20,17,0.409184217,31.77053133,31.77053133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4995,183,629,384.2307692,151.9919805,4995,0.034098685,13,19.60180525,151.9919805,-6645.363636,23101.56213,13,DDOS_UDP_flood
149.184.1.148,192.168.1.1,1780638429,0.244225979,20,17,0.244225979,32.756548,32.756548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1296,147,194,162,14.04457191,1296,0.034889426,8,12.72792206,14.04457191,44.33333333,197.25,8,DDOS_UDP_flood
85.13.92.115,192.168.1.1,1780638429,0.929589987,20,17,0.929589987,25.81783404,25.81783404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14051,132,1010,585.4583333,321.6383812,14051,0.040416956,24,24.19624627,321.6383812,4234.306324,103451.2483,24,DDOS_UDP_flood
13.79.218.167,192.168.1.1,1780638430,0.313512087,20,17,0.313512087,28.70702718,28.70702718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3304,146,688,367.1111111,173.6275992,3304,0.039189011,9,19.16014382,173.6275992,-13210.14286,30146.54321,9,DDOS_UDP_flood
54.101.147.208,192.168.1.1,1780638431,1.116214991,20,17,1.116214991,19.70946474,19.70946474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8570,175,655,389.5454545,152.4916472,8570,0.053153095,22,19.7369059,152.4916472,-1969.130952,23253.70248,22,DDOS_UDP_flood
156.38.255.203,192.168.1.1,1780638432,0.771995068,20,17,0.771995068,19.43017596,19.43017596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11458,354,1011,763.8666667,207.6730978,11458,0.055142505,15,27.6381379,207.6730978,-816.3571429,43128.11556,15,DDOS_UDP_flood
229.66.230.76,192.168.1.1,1780638433,0.595141888,20,17,0.595141888,23.52380212,23.52380212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8432,273,766,602.2857143,133.40991,8432,0.045780145,14,24.54151002,133.40991,-3493.288462,17798.20408,14,DDOS_UDP_flood
13.37.186.244,192.168.1.1,1780638433,1.052598,20,17,1.052598,28.50090919,28.50090919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12748,98,690,424.9333333,179.6325756,12748,0.036296483,30,20.61391116,179.6325756,-6177.495074,32267.86222,30,DDOS_UDP_flood
146.248.197.120,192.168.1.1,1780638434,0.740188122,20,17,0.740188122,25.6691501,25.6691501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12251,206,1013,644.7894737,219.4355388,12251,0.041121562,19,25.39270513,219.4355388,5275.147059,48151.95568,19,DDOS_UDP_flood
118.68.72.185,192.168.1.1,1780638435,1.148131132,20,17,1.148131132,25.25843886,25.25843886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19260,245,1053,664.137931,273.0798449,19260,0.041004683,29,25.7708737,273.0798449,-5798.645503,74572.60166,29,DDOS_UDP_flood
16.71.237.27,192.168.1.1,1780638436,0.407459974,20,17,0.407459974,24.54228791,24.54228791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6782,82,1057,678.2,339.5499374,6782,0.04527333,10,26.04227333,339.5499374,2132.736111,115294.16,10,DDOS_UDP_flood
88.23.55.133,192.168.1.1,1780638437,0.864481926,20,17,0.864481926,24.29200585,24.29200585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9719,138,936,462.8095238,255.9145354,9719,0.043224096,21,21.51300825,255.9145354,-20802.26316,65492.24943,21,DDOS_UDP_flood
139.136.115.79,192.168.1.1,1780638438,0.532576084,20,17,0.532576084,24.40965786,24.40965786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8875,252,1321,682.6923077,380.6622538,8875,0.04438134,13,26.12838127,380.6622538,-63562.95455,144903.7515,13,DDOS_UDP_flood
99.9.149.121,192.168.1.1,1780638438,1.330632925,20,17,1.330632925,21.79413981,21.79413981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7749,103,432,267.2068966,98.30016638,7749,0.047522604,29,16.34646434,98.30016638,-636.7777778,9662.922711,29,DDOS_UDP_flood
10.211.172.240,192.168.1.1,1780638440,1.018532038,20,17,1.018532038,28.47234935,28.47234935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25860,313,1303,891.7241379,260.406565,25860,0.036376144,29,29.86175042,260.406565,-8224.037037,67811.57907,29,DDOS_UDP_flood
242.187.105.102,192.168.1.1,1780638441,0.849343061,20,17,0.849343061,25.90237208,25.90237208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8112,110,628,368.7272727,169.7857425,8112,0.040444908,22,19.20227259,169.7857425,1940.97381,28827.19835,22,DDOS_UDP_flood
155.183.238.172,192.168.1.1,1780638442,0.152334929,20,17,0.152334929,39.38689609,39.38689609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1472,119,335,245.3333333,72.90557058,1472,0.030466986,6,15.66312017,72.90557058,-5000.85,5315.222222,6,DDOS_UDP_flood
198.96.10.62,192.168.1.1,1780638442,0.632524967,20,17,0.632524967,20.5525484,20.5525484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3390,78,356,260.7692308,86.57513753,3390,0.052710414,13,16.14835071,86.57513753,-1422.636364,7495.254438,13,DDOS_UDP_flood
18.148.189.200,192.168.1.1,1780638443,1.028944016,20,17,1.028944016,27.21236489,27.21236489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6257,120,330,223.4642857,59.04325421,6257,0.038109038,28,14.94872188,59.04325421,90.28205128,3486.105867,28,DDOS_UDP_flood
21.182.131.184,192.168.1.1,1780638444,0.892897129,20,17,0.892897129,24.63889656,24.63889656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14698,211,1312,668.0909091,381.8609824,14698,0.042518911,22,25.8474546,381.8609824,15036.37143,145817.8099,22,DDOS_UDP_flood
224.154.77.155,192.168.1.1,1780638445,1.401839972,20,17,1.401839972,20.68709738,20.68709738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5895,138,266,203.2758621,36.25759997,5895,0.050065713,29,14.25748442,36.25759997,265.1375661,1314.613555,29,DDOS_UDP_flood
79.132.107.91,192.168.1.1,1780638446,0.366146803,20,17,0.366146803,24.58030475,24.58030475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4548,164,842,505.3333333,221.0751506,4548,0.04576835,9,22.4796204,221.0751506,-8361.571429,48874.22222,9,DDOS_UDP_flood
118.41.170.18,192.168.1.1,1780638447,1.272366047,20,17,1.272366047,23.57812052,23.57812052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14155,126,882,471.8333333,214.0766348,14155,0.043874691,30,21.72172492,214.0766348,-120.9310345,45828.80556,30,DDOS_UDP_flood
165.105.167.61,192.168.1.1,1780638448,0.638148069,20,17,0.638148069,23.50551654,23.50551654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6539,125,761,435.9333333,227.7379976,6539,0.045582005,15,20.87901658,227.7379976,-4820.461538,51864.59556,15,DDOS_UDP_flood
11.43.11.58,192.168.1.1,1780638448,0.932064056,20,17,0.932064056,26.82219084,26.82219084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10282,166,708,411.28,147.8316664,10282,0.038836002,25,20.28003945,147.8316664,1263.043478,21854.2016,25,DDOS_UDP_flood
248.94.25.63,192.168.1.1,1780638449,0.247051954,20,17,0.247051954,32.38185273,32.38185273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4948,207,1260,618.5,373.2760373,4948,0.035293136,8,24.86966023,373.2760373,-90509.04762,139335,8,DDOS_UDP_flood
169.94.190.53,192.168.1.1,1780638449,0.710108995,20,17,0.710108995,23.93998683,23.93998683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6852,97,722,403.0588235,189.3575735,6852,0.044381812,17,20.07632495,189.3575735,11721.38333,35856.29066,17,DDOS_UDP_flood
253.81.52.155,192.168.1.1,1780638449,0.495829821,20,17,0.495829821,22.18503112,22.18503112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5565,120,892,505.9090909,221.2141926,5565,0.049582982,11,22.49242297,221.2141926,-21136.21111,48935.71901,11,DDOS_UDP_flood
