ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
93.134.72.159,192.168.1.1,1780646196,8.098054886,20,17,8.098054886,19.1403988,19.1403988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,41515,37,290,267.8387097,59.09745738,41515,0.052584772,155,16.36577862,59.09745738,-497.7119939,3492.509469,155,DDOS_UDP_FRAGMENTATION
72.84.188.137,192.168.1.1,1780646205,1.215543985,20,17,1.215543985,26.32566191,26.32566191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12636,65,482,394.875,140.0082029,12636,0.039211096,32,19.87146195,140.0082029,-7866.356989,19602.29688,32,DDOS_UDP_FRAGMENTATION
45.255.200.113,192.168.1.1,1780646206,3.182950974,20,17,3.182950974,26.70477827,26.70477827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19513,36,258,229.5647059,52.73919116,19513,0.037892273,85,15.15139287,52.73919116,-812.2534423,2781.422284,85,DDOS_UDP_FRAGMENTATION
187.85.44.246,192.168.1.1,1780646209,2.828436136,20,17,2.828436136,28.6377334,28.6377334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,34424,45,498,424.9876543,138.9739734,34424,0.035355452,81,20.6152287,138.9739734,-5151.356013,19313.76528,81,DDOS_UDP_FRAGMENTATION
54.95.79.43,192.168.1.1,1780646212,5.179940939,20,17,5.179940939,17.56776787,17.56776787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,37225,46,466,409.0659341,119.7480691,37225,0.057554899,91,20.22537847,119.7480691,-3224.38015,14339.60005,91,DDOS_UDP_FRAGMENTATION
180.23.10.204,192.168.1.1,1780646217,18.52011395,20,17,18.52011395,27.86159964,27.86159964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,49534,35,98,95.99612403,9.22038442,49534,0.035961386,516,9.797761174,9.22038442,-3.882724491,85.01548885,516,DDOS_UDP_FRAGMENTATION
242.10.213.214,192.168.1.1,1780646234,5.639962196,20,17,5.639962196,20.7448199,20.7448199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50699,83,490,433.3247863,112.0656728,50699,0.048620364,117,20.8164547,112.0656728,-3198.189955,12558.71503,117,DDOS_UDP_FRAGMENTATION
45.189.11.26,192.168.1.1,1780646236,4.928958893,20,17,4.928958893,19.67961229,19.67961229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29910,38,354,308.3505155,91.13364393,29910,0.051343322,97,17.55991217,91.13364393,-2015.419737,8305.341056,97,DDOS_UDP_FRAGMENTATION
198.67.83.216,192.168.1.1,1780646240,7.572608232,20,17,7.572608232,16.90302681,16.90302681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,48901,35,418,382.0390625,86.6413587,48901,0.059626836,128,19.54581957,86.6413587,-1284.939445,7506.725037,128,DDOS_UDP_FRAGMENTATION
137.32.197.189,192.168.1.1,1780646241,20.11096001,20,17,20.11096001,28.193582,28.193582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,59284,35,106,104.5573192,8.083546021,59284,0.035531731,567,10.22532734,8.083546021,-1.910772695,65.34371627,567,DDOS_UDP_FRAGMENTATION
170.197.185.152,192.168.1.1,1780646247,1.82545495,20,17,1.82545495,21.36453709,21.36453709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10433,41,298,267.5128205,69.8444689,10433,0.048038288,39,16.35581916,69.8444689,-842.2788051,4878.249836,39,DDOS_UDP_FRAGMENTATION
138.88.168.218,192.168.1.1,1780646249,1.62585783,20,17,1.62585783,20.29697763,20.29697763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12863,153,442,389.7878788,86.82017555,12863,0.050808057,33,19.74304634,86.82017555,-2579.289315,7537.742883,33,DDOS_UDP_FRAGMENTATION
