ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
127.0.0.1,127.0.0.1,1780732714,0.007435799,20,6,0.007435799,1344.845453,1344.845453,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.0008262,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,0.001209021,20,6,0.001209021,8271.157563,8271.157563,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.000134336,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,0.001312971,20,6,0.001312971,7616.313782,7616.313782,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.000145886,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,0.001034021,20,6,0.001034021,9670.97994,9670.97994,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.000114891,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,0.001281977,20,6,0.001281977,7800.453785,7800.453785,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.000142442,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,178.123719,20,6,178.123719,0.202106717,0.202106717,0,1,1,0,1,1,0,0,33,6,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4569,66,423,126.9166667,112.850288,4569,5.089249114,36,11.26572974,112.850288,-4020.995798,12735.1875,36,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,0.003035069,20,6,0.003035069,3294.818539,3294.818539,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.00033723,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,178.102283,20,6,178.102283,0.123524526,0.123524526,0,1,1,0,1,1,0,0,20,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2745,66,401,124.7727273,108.6520434,2745,8.481061095,22,11.17017132,108.6520434,-3949.564286,11805.26653,22,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,0.001188993,20,6,0.001188993,8410.475236,8410.475236,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.00013211,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
127.0.0.1,127.0.0.1,1780732714,0.00121212,20,6,0.00121212,8250.007868,8250.007868,0,1,1,0,1,1,0,0,9,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1122,66,326,112.2,89.98866595,1122,0.00013468,10,10.59245014,89.98866595,-2905.166667,8097.96,10,DOS_HTTP_flood
