ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
192.168.1.1,192.168.1.1,1780664712,1.42460084,20,6,1.42460084,19.65462832,19.65462832,0,0,1,0,0,1,0,0,28,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3712,87,164,132.5714286,22.47924213,3712,0.052762994,28,11.51396667,22.47924213,87.57692308,505.3163265,28,DDOS_LAND
192.168.1.1,192.168.1.1,1780664713,134.58992,20,6,134.58992,0.356638892,0.356638892,0,0,1,0,1,1,0,0,48,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9147,94,278,190.5625,47.28852321,9147,2.86361532,48,13.80443769,47.28852321,292.7289547,2236.204427,48,DDOS_LAND
192.168.1.1,192.168.1.1,1780664714,0.228222847,20,6,0.228222847,35.05345808,35.05345808,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,663,74,94,82.875,7.590083992,663,0.032603264,8,9.103570728,7.590083992,-30.71428571,57.609375,8,DDOS_LAND
192.168.1.1,192.168.1.1,1780664714,0.663981915,20,6,0.663981915,28.61523723,28.61523723,0,0,1,0,0,1,0,0,19,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2985,98,225,157.1052632,43.94960599,2985,0.036887884,19,12.53416384,43.94960599,-429.7385621,1931.567867,19,DDOS_LAND
192.168.1.1,192.168.1.1,1780664715,0.397097826,20,6,0.397097826,32.73752498,32.73752498,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1362,66,139,104.7692308,21.2137613,1362,0.033091486,13,10.23568419,21.2137613,19.35606061,450.0236686,13,DDOS_LAND
192.168.1.1,192.168.1.1,1780664715,0.828611851,20,6,0.828611851,20.51624049,20.51624049,0,1,0,0,0,1,0,0,17,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1780,92,118,104.7058824,8.336769764,1780,0.051788241,17,10.23258923,8.336769764,13.70833333,69.5017301,17,DDOS_LAND
192.168.1.1,192.168.1.1,1780664716,0.363715887,20,6,0.363715887,24.74458862,24.74458862,0,1,0,0,0,1,0,0,9,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1018,75,150,113.1111111,23.77414302,1018,0.045464486,9,10.63537076,23.77414302,-138.0178571,565.2098765,9,DDOS_LAND
192.168.1.1,192.168.1.1,1780664717,0.747309923,20,6,0.747309923,26.76265814,26.76265814,0,0,0,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2437,102,146,121.85,13.73417271,2437,0.039332101,20,11.03856875,13.73417271,39.37426901,188.6275,20,DDOS_LAND
192.168.1.1,192.168.1.1,1780664718,0.175443172,20,6,0.175443172,45.59881065,45.59881065,0,0,1,0,0,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1260,115,241,157.5,40.56784441,1260,0.02506331,8,12.5499004,40.56784441,-226.9047619,1645.75,8,DDOS_LAND
192.168.1.1,192.168.1.1,1780664718,0.2723279,20,6,0.2723279,25.7043072,25.7043072,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,950,69,206,135.7142857,42.6939751,950,0.045387983,7,11.64964745,42.6939751,-815.6666667,1822.77551,7,DDOS_LAND
