ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780750243,1.232477903,20,6,1.232477903,38.9459315,20.28433932,18.66159218,0,1,1,0,1,0,0,23,25,0,0,23,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5154,54,326,107.375,67.1303536,5154,0.026222934,48,14.54049817,76.48031982,-1722.215079,4506.484375,48,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750245,0.234319925,20,6,0.234319925,55.47970358,29.87368655,25.60601704,0,1,1,0,1,0,0,6,7,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1530,54,238,117.6923077,67.77381457,1530,0.01952666,13,15.04279609,45.5277444,-2285.363636,4593.289941,13,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750245,1.06042695,20,6,1.06042695,42.43573778,23.57540988,18.8603279,0,1,1,0,1,0,0,20,25,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4466,54,179,99.24444444,46.57331404,4466,0.024100613,45,13.76372043,30.92840765,-1461.439746,2169.07358,45,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750246,0.802978992,20,6,0.802978992,58.53204186,29.88870223,28.64333963,0,1,1,0,1,0,0,23,24,0,0,23,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4941,54,187,105.1276596,53.5464074,4941,0.017456065,47,14.42653805,26.62910766,-2337.96087,2867.217746,47,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750247,1.360304117,20,6,1.360304117,38.22674602,19.11337301,19.11337301,0,1,1,0,1,0,0,26,26,0,0,26,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4662,54,166,89.65384615,37.96652605,4662,0.02667263,52,13.39058222,18.45320325,-1303.616471,1441.457101,52,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750248,1.068794966,20,6,1.068794966,47.71729063,25.26209504,22.45519559,0,1,1,0,1,0,0,24,27,0,0,24,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4020,54,190,78.82352941,31.48713144,4020,0.021375899,51,12.47070642,36.58698787,-325.917551,991.4394464,51,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750250,0.32785821,20,6,0.32785821,54.90178215,27.45089107,27.45089107,0,1,1,0,1,0,0,9,9,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1888,54,236,104.8888889,59.55845764,1888,0.019285777,18,14.48370732,43.76141826,-2882.705882,3547.209877,18,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750250,0.737111092,20,6,0.737111092,37.98613305,18.99306653,18.99306653,0,1,1,0,1,0,0,14,14,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2070,54,115,73.92857143,21.07118644,2070,0.027300411,28,12.15965225,9.679559781,-410.1538462,443.994898,28,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750251,0.652290106,20,6,0.652290106,44.4587458,22.995903,21.4628428,0,1,1,0,1,0,0,14,15,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2848,54,190,98.20689655,43.41728506,2848,0.023296075,29,13.93249029,39.74186093,-1037.166667,1885.060642,29,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750251,0.766046047,20,6,0.766046047,44.3837549,22.19187745,22.19187745,0,1,1,0,1,0,0,17,17,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2954,54,190,86.88235294,34.78992815,2954,0.023213517,34,13.18198414,34.38626506,-508.1174242,1210.3391,34,DOS_syn_flood
192.168.1.100,192.168.1.1,1780750252,0.950729847,20,6,0.950729847,52.59117525,27.34741113,25.24376412,0,1,1,0,1,0,0,24,26,0,0,24,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5073,54,194,101.46,50.414367,5073,0.01940265,50,14.11627539,29.82069195,-1868.25,2541.6084,50,DOS_syn_flood
