ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780751074,0.491100073,20,6,0.491100073,44.79738696,22.39869348,22.39869348,0,1,1,0,1,0,0,22,11,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4204,54,468,191.0909091,151.9198081,4204,0.023385718,22,19.54947105,92.58197172,-20164.11429,23079.6281,22,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751074,0.706805229,20,6,0.706805229,25.46670463,25.46670463,0,0,0,1,0,1,0,0,18,0,0,0,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8501,156,816,472.2777778,207.3354248,8501,0.041576778,18,21.73195292,207.3354248,9594.746324,42987.9784,18,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751074,0.863919973,20,6,0.863919973,41.67052633,20.83526317,20.83526317,0,1,1,0,1,0,0,36,18,0,0,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3276,54,190,91,41.58725766,3276,0.024683428,36,13.49073756,41.53371381,-820.7731092,1729.5,36,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751074,188.9399979,20,6,188.9399979,0.227585479,0.116439082,0.111146397,1,0,1,0,1,0,0,35,0,22,0,21,1,0,0,0,0,0,0,1,0,0,0,0,1,0,12979,54,1130,301.8372093,341.4098628,12979,4.498571379,43,24.34550191,345.2166594,-33779.94832,116560.6944,43,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751075,0.240579128,20,6,0.240579128,49.87963871,24.93981936,24.93981936,0,0,1,1,1,0,0,12,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5817,54,1240,484.75,500.0750152,5817,0.02187083,12,31.13679495,359.2477093,-187963.6364,250075.0208,12,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751075,0.59058404,20,6,0.59058404,23.70534769,23.70534769,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6410,164,802,457.8571429,222.6162159,6410,0.045429542,14,21.39759666,222.6162159,-38300.03205,49557.97959,14,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751075,0.900874853,20,6,0.900874853,47.73138006,24.42070608,23.31067398,0,1,1,0,1,0,0,21,22,0,0,21,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3539,54,190,82.30232558,32.08312958,3539,0.021449401,43,12.79111231,34.07655143,-485.4430894,1029.327204,43,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751076,0.799155951,20,6,0.799155951,18.7698033,18.7698033,0,0,0,1,0,1,0,0,15,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5215,136,545,347.6666667,125.4079565,5215,0.057082568,15,18.64582169,125.4079565,2419.637363,15727.15556,15,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751076,0.179498196,20,6,0.179498196,55.71086642,27.85543321,27.85543321,0,0,1,1,1,0,0,10,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2261,54,840,226.1,239.0872017,2261,0.019944244,10,21.26499471,234.7095226,-32077.52778,57162.69,10,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751077,0.577204943,20,6,0.577204943,58.90455449,29.45227725,29.45227725,0,1,1,0,1,0,0,17,17,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6608,54,441,194.3529412,142.8106279,6608,0.017491059,34,19.71562534,75.86269695,-17438.87879,20394.87543,34,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751077,0.219085932,20,6,0.219085932,22.82209524,22.82209524,0,0,0,1,0,1,0,0,5,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1903,145,541,380.6,159.6403458,1903,0.054771483,5,19.50897229,159.6403458,15762.16667,25485.04,5,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751077,0.905534983,20,6,0.905534983,24.29503047,24.29503047,0,0,0,1,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,1,0,0,0,0,1,0,16440,118,1360,747.2727273,385.6058022,16440,0.043120713,22,27.33628957,385.6058022,26938.63095,148691.8347,22,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751077,1.203058958,20,6,1.203058958,44.05436628,22.44279037,21.61157591,1,0,1,0,1,0,0,53,0,27,0,26,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14903,54,1016,281.1886792,292.1972103,14903,0.023135749,53,23.5364178,264.6337065,-49901.94947,85379.20968,53,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751078,1.545032978,20,6,1.545032978,18.76982589,18.76982589,0,0,0,1,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15914,113,1022,548.7586207,262.4272188,15914,0.055179749,29,23.42559755,262.4272188,-10793.97884,68868.04518,29,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751078,0.727025032,20,6,0.727025032,20.63202688,20.63202688,0,0,0,1,0,1,0,0,15,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3907,96,423,260.4666667,97.79016083,3907,0.051930359,15,16.13897973,97.79016083,3409.549451,9562.915556,15,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751079,0.290537119,20,6,0.290537119,30.977109,30.977109,0,0,0,1,0,1,0,0,9,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5987,314,1042,665.2222222,278.032683,5987,0.03631714,9,25.79190226,278.032683,-10590.96429,77302.17284,9,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751080,0.852236032,20,6,0.852236032,50.45550571,25.81444478,24.64106093,0,0,1,0,1,0,0,43,0,0,0,21,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9759,54,541,226.9534884,184.5992458,9759,0.020291334,43,21.12675618,122.2111901,-26432.41638,34076.88156,43,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751080,0.431057215,20,6,0.431057215,60.316819,30.1584095,30.1584095,1,0,1,0,1,0,0,13,0,13,0,13,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9312,54,1351,358.1538462,390.7993477,9312,0.017242289,26,26.7639252,364.6065237,-86676.54667,152724.1302,26,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751080,0.802600145,20,6,0.802600145,47.34611652,24.91900869,22.42710783,1,0,1,0,1,0,0,38,0,20,0,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10018,54,738,263.6315789,232.6896986,10018,0.021691896,38,22.50111108,166.5169961,-33292.89489,54144.49584,38,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751080,1.060389996,20,6,1.060389996,42.43721667,21.69013297,20.74708371,0,1,1,0,1,0,0,45,23,0,0,22,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8893,54,524,197.6222222,161.5702515,8893,0.024099773,45,19.72989546,125.5318444,-19404.22622,26104.94617,45,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751081,1.008358955,20,6,1.008358955,50.57722721,25.78446878,24.79275844,0,0,1,1,1,0,0,51,0,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15764,54,898,309.0980392,294.4505188,15764,0.020167179,51,24.67393517,240.0595913,-57961.19184,86701.10804,51,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751082,0.391529083,20,6,0.391529083,20.43270945,20.43270945,0,0,0,1,0,1,0,0,8,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2447,123,430,305.875,103.7273319,2447,0.055932726,8,17.48928243,103.7273319,1542.833333,10759.35938,8,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751082,0.20352006,20,6,0.20352006,44.22168517,29.48112344,14.74056172,0,0,1,0,1,0,0,9,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2464,54,677,273.7777778,224.4191405,2464,0.025440007,9,20.92048438,198.2907517,-3232.25,50363.95062,9,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751082,0.374633074,20,6,0.374633074,48.04701255,24.02350628,24.02350628,1,0,1,0,1,0,0,18,0,9,0,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2197,54,297,122.0555556,82.57419036,2197,0.02203724,18,15.62405553,66.1352897,-5368.382353,6818.496914,18,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751082,0.846911907,20,6,0.846911907,48.41117435,24.79596735,23.615207,0,1,1,0,1,0,0,41,21,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6693,54,444,163.2439024,128.5940446,6693,0.021172798,41,17.9244446,100.47276,-11656.78462,16536.42832,41,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751083,1.286247015,20,6,1.286247015,44.31497165,22.54621364,21.768758,0,1,1,0,1,0,0,28,29,0,0,28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8584,54,354,150.5964912,112.5638781,8584,0.022968697,57,17.25868097,84.83359945,-9138.471429,12670.62665,57,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751083,1.41284585,20,6,1.41284585,19.11036508,19.11036508,0,0,0,1,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14195,178,1081,525.7407407,238.4908714,14195,0.054340225,27,22.92903707,238.4908714,11517.24615,56877.89575,27,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751084,0.762252092,20,6,0.762252092,39.35705825,19.67852912,19.67852912,0,0,1,0,1,0,0,30,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8694,54,1137,289.8,351.0805606,8694,0.026284555,30,24.07488318,367.8475771,-60007.03448,123257.56,30,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751085,0.654306889,20,6,0.654306889,56.5483883,29.03836156,27.51002674,0,1,1,0,1,0,0,37,19,0,0,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5023,54,267,135.7567568,82.8914645,5023,0.018175191,37,16.34657537,32.38677272,-5880.927778,6870.994887,37,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751085,1.27132082,20,6,1.27132082,16.51825383,16.51825383,0,0,0,1,0,1,0,0,21,0,0,0,21,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8541,171,659,406.7142857,146.308592,8541,0.063566041,21,20.16715859,146.308592,-8832.557895,21406.20408,21,DOS_tcp_flood
192.168.1.100,192.168.1.1,1780751085,0.634212971,20,6,0.634212971,50.45623706,26.80487594,23.65136112,0,1,1,0,1,0,0,15,17,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14179,54,1159,443.09375,423.6716269,14179,0.020458483,32,28.98985624,293.9860058,-126117.3785,179497.6475,32,DOS_tcp_flood
