ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_numbe,ack_flag_number,ece_flag_numbe,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780813170,0.747240067,20,17,0.747240067,14.72083804,14.72083804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7321,248,1309,665.5454545,374.0372766,7321,0.074724007,11,25.79816766,374.0372766,-5753.966667,139903.8843,11,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813170,0.621667147,20,17,0.621667147,12.86862277,12.86862277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5263,219,1277,657.875,397.0756973,5263,0.088809592,8,25.64907406,397.0756973,57025.71429,157669.1094,8,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813171,0.415983915,20,17,0.415983915,16.82757372,16.82757372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4310,120,1150,615.7142857,344.5882488,4310,0.069330653,7,24.81359075,344.5882488,-54925.06667,118741.0612,7,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813172,1.430979013,20,17,1.430979013,16.77173444,16.77173444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22527,162,1394,938.625,379.9612713,22527,0.062216479,24,30.63698745,379.9612713,-50775.16996,144370.5677,24,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813173,0.600785017,20,17,0.600785017,14.98040022,14.98040022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7289,167,1408,809.8888889,442.5811776,7289,0.075098127,9,28.45854685,442.5811776,-62670.5,195878.0988,9,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813174,1.218915939,20,17,1.218915939,20.51002796,20.51002796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17611,183,1433,704.44,396.7479885,17611,0.050788164,25,26.54128859,396.7479885,25605.59783,157408.9664,25,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813175,0.287605047,20,17,0.287605047,41.72388529,41.72388529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8290,152,1442,690.8333333,433.6620868,8290,0.026145913,12,26.28370852,433.6620868,55402.71818,188062.8056,12,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813175,0.283079863,20,17,0.283079863,31.79314812,31.79314812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8938,107,1397,993.1111111,376.9684468,8938,0.035384983,9,31.51366547,376.9684468,3572.982143,142105.2099,9,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813176,1.169503927,20,17,1.169503927,19.66645811,19.66645811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18703,212,1440,813.173913,405.3446898,18703,0.053159269,23,28.51620439,405.3446898,-1887.160173,164304.3176,23,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813177,1.259594917,20,17,1.259594917,22.22936884,22.22936884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20756,138,1330,741.2857143,422.2760486,20756,0.046651664,28,27.22656266,422.2760486,-9295.928775,178317.0612,28,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813178,1.110565186,20,17,1.110565186,26.1128301,26.1128301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18429,112,1426,635.4827586,400.4870845,18429,0.039663042,29,25.20878336,400.4870845,-48392.60847,160389.9049,29,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813179,0.227647066,20,17,0.227647066,21.96382359,21.96382359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4868,547,1333,973.6,296.3792165,4868,0.056911767,5,31.202564,296.3792165,-96909.08333,87840.64,5,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813180,0.148408175,20,17,0.148408175,47.16721315,47.16721315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5904,138,1434,843.4285714,412.7703814,5904,0.024734696,7,29.04184174,412.7703814,-42809.8,170379.3878,7,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813180,0.359411001,20,17,0.359411001,36.1702896,36.1702896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10763,194,1381,827.9230769,378.2499096,10763,0.029950917,13,28.77365248,378.2499096,-19451.42424,143072.9941,13,DOS_udp_flood
192.168.1.100,192.168.1.1,1780813180,0.456598997,20,17,0.456598997,17.52084444,17.52084444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6534,417,1373,816.75,359.8446714,6534,0.065228428,8,28.57883832,359.8446714,11681.04762,129488.1875,8,DOS_udp_flood
