ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780569475,0.012408686,59.8,6,140.4,13.97415092,13.97415092,0,0,0,1,0,1,0,0,0,0.1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,857,54,58,55.33754281,1.867369298,54,166846839,13.5,10.52069574,2.645008108,3.504600023,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,11.61215229,339.4,6,121.3,6.701959534,6.701959534,0,0,0,1,0,1,0,0,0,0,0.9,1.8,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,305.4,54,62.4,55.3147619,3.000727678,55.2,0.001595402,5.5,10.51763225,4.24366978,13.06048753,0.7,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,77.81849198,8746.5,5.4,128.3,33.93562727,33.93562727,0,0,0,0,0,1,0,0,0,1.2,0,46.5,83.1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1679.7,58.2,236.4,108.2945253,60.390721,96.1,166847055.3,13.5,14.73260586,85.47930963,3671.63235,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,1.75008378,7216.6,6,61.2,14.33525201,14.33525201,0,0,0,0,0,1,0,0,1,1.8,1.8,8.3,17.9,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1986.6,54.6,776,130.4118301,176.461852,66,166848077,13.5,16.14898494,250.0687146,31464.74812,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,818.5588133,166650,5.9,87.5,1.371765921,1.371765921,0,0,0,0,0,1,0,0,0,0.4,0,879.2,1446.3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1342.9,46,215.2,86.29663418,50.51226897,90.6,166847557.4,13.5,13.14312658,71.57969388,2582.211157,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,756.7316005,46934.9,9.3,86.1,4.063963358,4.063963358,0,0,0,0,0,1,0,0,0.4,0.3,0,243.3,456.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,411.6,55.2,108.1,72.55305556,18.67225604,76.1,0.019028401,5.5,12.03294489,26.40655773,408.4938286,0.9,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,265.8034635,79787.1,6,81.2,15.28400622,15.28400622,0,0,0,0,0,1,0,0,0,1.4,0,420.2,684.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1704.2,66,312,110.8385676,68.46181828,83.6,166847393.2,13.5,14.88291961,97.04153363,4732.903014,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,56.74969642,373,6,109.5,22.37306328,22.37306328,0,0,1,0,0,0,0,0,0,0.7,0.6,2,3.6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,311.4,54,57.6,56.37857143,1.673791365,56.8,0.002763009,5.5,10.6184065,2.367098448,3.125503401,0.9,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,588.2072213,46164.4,5.5,112.1,0.844295136,0.844295136,0,0,0,0,0,1,0,0,0,0.1,0,266.8,431.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,507.9,65.2,118.9,94.56892857,20.81280095,92.7,0.038298202,5.5,13.74264215,29.43374537,529.0499965,0.9,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0.013722992,79.6,6,47.4,155.9319235,155.9319235,0,0,1,0,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,319,58,58,58,0,58,0.000177503,5.5,10.77032961,0,0,0,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0.057072783,83.8,6,69.8,17.53836074,17.53836074,0,0,1,0,0,0,0,0,0,0.7,0.8,0,0.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,311,54.4,58,56.52238095,1.71929838,56.8,0.002051091,5.5,10.63206889,2.431455087,3.288197279,0.9,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0.04428587,78,6,114.5,17.62063958,17.62063958,0,0,1,0,0,0,0,0,0,0.6,0.8,0,0.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1043.8,54,214,67.75360218,39.0496901,56.4,166846827.1,13.5,11.64235176,55.34511964,1542.249871,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0.037034559,88.8,6,78.4,29.84213914,29.84213914,0,0,0,1,0,0,0,0,0,0.6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,302.6,54,56,54.66873016,0.918142724,55.6,0.002616596,5.5,10.4562264,1.298449892,1.702814563,0.5,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0,48.6,5.4,153.1,0.18879465,0.18879465,0,0,0,1,0,1,0,0,0,0,0.9,0,0.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,298.8,54,55.8,54.20166667,0.566993157,54.6,0.00372479,5.5,10.41164972,0.801849412,1.073305556,0.3,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,71.11430988,16872.1,7.1,83.1,124.7634406,124.7634406,0,0,0,0,0,1,0,0,0,1.7,0,29.9,48.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,5672.8,64.8,2839.6,998.717381,1015.47208,847.7,0.002818799,5.5,43.29040584,1436.094388,1174260.436,0.9,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0,58,6,50,0.206677549,0.206677549,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,319,58,58,58,0,58,0.002989101,5.5,10.77032961,0,0,0,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,114.2049145,3052.2,11.5,102.1,2.415602122,2.415602122,0,0,0,0,0,0,0,0,0,0.7,0,3,7.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1325.6,54,123,86.03778556,21.71046522,70.4,166848482.5,13.5,13.12545087,30.68382553,471.0324842,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,28.64344738,7398.8,6,65,18.27158736,18.27158736,0,0,1,0,0,0,0,0,0,0.9,0.7,42.4,68.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,895.4,54,61.8,57.72528687,1.776801411,58.8,166846841.2,13.5,10.74481561,2.520966417,3.305899432,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0.042742157,83.8,6,72.5,61.53587077,61.53587077,0,0,1,0,0,0,0,0,0,0.7,0.8,0,0.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,313.8,56,58,57.37571429,0.907942934,56.4,0.00194211,5.5,10.71202836,1.284025211,1.66330839,0.5,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,2.539614391,101.4,7.1,93.7,10.57962082,10.57962082,0,0,0,0,0,0,0,0,0,0.5,0.6,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4084.4,52,1661,271.1109056,512.4765138,55.6,166846815.2,13.5,23.25928479,726.2029036,265198.0032,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0.019897699,77.2,6,114,33.14082443,33.14082443,0,0,0,1,0,1,0,0,0,0.4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,878.6,54,58,56.73606737,1.828943517,55.6,166846701.3,13.5,10.65338056,2.5843865,3.353105924,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,42.89982162,2231.4,6.9,99.4,0.497182923,0.497182923,0,0,0,0,0,0,0,0,0,0.2,0,1.6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1195.9,54,171.5,75.93542636,32.27628393,100.1,166847040.4,13.5,12.31242913,45.8214804,1265.265984,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,0.094422126,106.2,6,69.3,18.82921999,18.82921999,0,0,1,0,0,0,0,0,0,0.9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,891,54,58,57.46498288,1.353242438,57.6,166847741.1,13.5,10.72033893,1.917672629,1.849829729,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,170.4028918,10041.9,8.2,114.6,19.15159426,19.15159426,0,0,0,0,0,1,0,0,0,1.2,0.1,35.6,71.1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2984.1,64.2,2531.4,490.1925794,872.1337234,441.8,0.019202018,5.5,29.79977331,1233.38334,1070343.976,0.9,38.5,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,30.11672616,1973.7,6,93.9,33.25903772,33.25903772,0,0,0,0,0,1,0,0,0,0.9,0,1,4.2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1691.6,60,355,109.2321391,82.69125834,98.4,166847693.5,13.5,14.7826261,117.2237841,6883.217658,1,244.6,Recon-Host-Discovery
192.168.1.100,192.168.1.1,1780569475,963.704075,62894,6.4,117.1,0.480383254,0.480383254,0,0,0,0,0,0,0,0,0,0,0,252.2,497,0,0,0,0,0,0,0,0,0,0,0,0,1,1,550.2,70.6,203.9,108.6091667,49.92482529,98.5,0.070480704,5.5,14.66968821,70.60436503,2795.055846,0.9,38.5,Recon-Host-Discovery
