ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780569475,8.068309402,205524.9,8.2,116.3,31.49219529,31.49219529,0,0,0,0,0,1,0,0,0.3,0.8,0,26.6,266.8,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3356.4,50,1049.2,215.1332373,304.4716855,356,166430356.7,13.5,20.3927605,419.1027023,90042.97272,1,244.6,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,89.73013408,28006.2,10.4,58,4.72050185,4.72050185,0,0,0,0,0,1,0,0,0.2,0.2,0,121.8,245.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1337,50,158,86.25897066,38.56412908,99.2,166430721.1,13.5,13.14060382,54.64905862,1498.424292,1,244.6,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,3.237532306,2215.5,7.1,150.5,25.82348729,25.82348729,0,0,0,0,0,1,0,0,0.3,0.9,0,6.2,14.3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1125.3,75,566.4,164.1998016,162.7499997,509.9,0.020120597,5.5,17.21616657,230.1632568,91591.60524,0.9,38.5,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,0.075879836,4053,6,64,127.078688,127.078688,0,0,0,0,0,1,0,0,1,2,0,2,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2649.9,66,253,173.5958938,91.16357215,122.1,166439375.8,13.5,18.64075088,128.9727138,8322.90324,1,244.6,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,19.63131793,17281.5,8.8,100,16.66663535,16.66663535,0,0,0,0,0,1,0,0,0.2,0.4,0,41.8,90.6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,582.3,72.4,212.7,110.1995238,50.57924688,115.7,0.014099884,5.5,14.80029894,71.52985692,2935.187641,0.9,38.5,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,27.20190959,1576589.1,7.1,80.8,57.41283745,57.41283745,0,0,0,0,0,1,0,0,0.3,0.4,0,79.5,1731.9,0,1,0,0,0,0,0,1,0,0,0,0,1,1,27631.8,66,5858,1781.637054,1635.41621,2093.6,166430285.6,13.5,59.764511,2313.647265,2686359.301,1,244.6,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,0,58,6,45.9,0.073348988,0.073348988,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,907,58,66,58.53501712,1.987981256,58,166438100.1,13.5,10.82008124,2.817485073,3.998319272,1,244.6,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,0.263941979,2299.7,8.2,57.6,67.81379092,67.81379092,0,0,0,0,0,1,0,0,0,1.2,0.3,1.4,3.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,16170.2,54,4434,1054.07948,1579.048886,639.6,166430885.4,13.5,45.97555633,2236.134426,2506406.275,1,244.6,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,524.3958265,30897.2,10.4,57.9,14.92694704,14.92694704,0,0,0,0,0,0,0,0,0.2,0.6,0,111.4,228.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2665.1,66,406.8,171.8593223,127.0210653,157.4,166437942.6,13.5,18.56092789,179.8822054,16266.73668,1,244.6,Recon-OSScan
192.168.1.100,192.168.1.1,1780569475,107.4503179,2409,12,105.7,6.761642015,6.761642015,0,0,0,0,0,0,0,0,0.4,0.4,0,0.7,2.2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,735.7,49.9,248,119.7281746,72.29198743,138.5,0.0336092,5.5,15.32367998,102.2363091,6655.561215,0.8,38.5,Recon-OSScan
