ip_src,ip_dst,ts,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780569475,28.03567452,2054572,6,64,74.06633468,74.06633468,0,0,0,0,0,1,0,0,0,2,0,77,2075.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,8327,1514,1514,1514,0,1514,0.002093315,5.5,55.02726597,0,0,0,38.5,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,104.9571177,9622.6,7,83.1,37.85715917,37.85715917,0,0,0,0,0,1,0,0,0.4,1.1,0,37.2,73.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2128.2,66,519,138.3708367,150.370504,97.8,166421738.2,13.5,16.64717235,213.0786902,22829.10063,1,244.6,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,0.431117606,112,6,255,4.639105679,4.639105679,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,297,54,54,54,0,54,2.46E-05,5.5,10.39230485,0,0,0,38.5,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,23.23213484,114207.5,7,107.7,43.93534583,43.93534583,0,0,0,0,0,1,0,0,0,1.6,0,136.6,329.3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2686,81.1,865.5,366.7877381,355.042789,805.1,0.004569101,5.5,25.23131057,502.1063274,218989.6665,0.9,38.5,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,21.92319896,43424.7,7.1,136,20.37272534,20.37272534,0,0,0,0,0,1,0,0,0.7,0.8,0.3,122.3,256,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1955,46,538,127.8360585,121.686964,88.5,166429832,13.5,15.9894567,172.4553909,14942.80092,1,244.6,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,237.972282,6876.4,9.3,72,28.97361606,28.97361606,0,0,0,0,0,1,0,0,0.8,1.2,0,25.8,54,0,0,0,0,0,0,0,1,0,0,0,0,1,1,386,59.6,98.6,69.77071429,11.71525446,72.6,0.014098191,5.5,11.80827957,16.56787175,277.3955505,0.9,38.5,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,35.72102354,30571.1,6,60.4,43.45333375,43.45333375,0,0,0,0,0,1,0,0,0,1.8,0,36.5,92.7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1480.5,66,949.8,222.9089286,317.5544175,369.9,0.002289414,5.5,20.28030474,449.0897641,156758.4618,0.9,38.5,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,66.99819911,1485.7,9.3,121.7,191.1454728,191.1454728,0,0,0,0,0,1,0,0,0,0.1,0,0.5,2.1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,5790.5,60,1374.8,367.154099,468.5907158,410.7,166421053.5,13.5,27.08990871,663.8338418,223770.083,1,244.6,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,0.000222611,63.4,6,66.4,898.4264753,898.4264753,0,0,1,0,0,0,0,0,0,1,0.1,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,315,54,57.6,56.8284127,1.388804368,57.6,0.000156593,5.5,10.66053058,1.964065972,2.206720836,0.9,38.5,Recon-PortScan
192.168.1.100,192.168.1.1,1780569475,18.97977715,432147,7.2,135.4,24.50744168,24.50744168,0,0,0,0,0,1,0,0,0,0,0,94.9,587,0,0,0,0,0,0,0,1,0,0,0,0,1,1,488.2,49.2,160.2,84.1234127,37.40568447,98.4,0.018870592,5.5,12.93532096,52.89962629,1833.408788,0.8,38.5,Recon-PortScan
