ip_dst,ip_src,ts,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780569475,352.9014587,11810.6,8.2,130.8,10.89965278,10.89965278,0,0,0,0,0,1,0,0,0,1.6,0,2.7,9.2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,7677.6,60,1494,509.3549719,574.8021376,239.8,167638814.5,13.5,31.8792962,814.2614305,332184.1103,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,4.488850713,6160897,6,50,1071.655108,1071.655108,0,0,0,0,0,1,0,0,0,0,0,11,4810.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,11915,66,1514,741.4352751,704.2374323,1514,167638862,13.5,38.22723921,996.724466,497287.0518,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,525.9803579,9266.2,9.8,102.4,0.460918269,0.460918269,0,0,0,0,0,0,0,0,0,0,0,13.5,30.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4337.5,346,2508.5,1013.298492,811.4945815,513.4,0.047119784,5.5,43.87326144,1147.626643,751141.4396,0.9,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,156.5249358,8235.2,12.6,78.4,53.87000345,53.87000345,0,0,0,0,0,0,0,0,0.2,0.4,0,28.1,58.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,426.6,46,163.6,71.01174603,41.73394908,83,0.026925802,5.5,11.82461332,59.02071681,2520.610049,0.7,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,12.37897344,317,12.6,94.7,103.2429223,103.2429223,0,0,0,0,0,0,0,0,0,0.8,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2238,65.6,376,145.7901957,79.40522237,116.2,167638643.1,13.5,17.08152497,112.4760322,6529.482538,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,3.375728178,4085647,6,51.4,980.1049948,980.1049948,0,0,0,0,0,1,0,0,0,2,0,19,3307.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,7539,66,1369.2,448.780909,566.1456843,1369.2,167638861.4,13.5,28.75151995,799.879763,364594.9582,0.9,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,1.843129587,2215261,6,54.2,973.07299,973.07299,0,0,0,0,0,1,0,0,0,2,0,14,1792.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,18399,66,1514,1186.522861,604.2782404,1079.6,167638861.3,13.5,48.67764407,856.1516823,367002.5184,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,19.39601696,3724,14.8,80.4,46.93596631,46.93596631,0,0,0,0,0,0,0,0,0,0,0,16,31.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,488.6,76.2,156,97.4334127,30.58925106,82.2,0.015095186,5.5,13.88886006,43.25973372,1062.885233,0.9,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,56.28241372,5287.2,6.5,177.6,21.02578169,21.02578169,0,0,0,0,0,1,0,0,0,1.6,0,2.6,10.8,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3928.2,60,786.8,238.5889721,240.1811819,683.8,167638690.5,13.5,21.26707639,333.0495262,85897.22565,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,4.758862925,5819349.7,7.1,73.3,854.540952,854.540952,0,0,0,0,0,1,0,0,0,0,0,10.5,4549.3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,7504.8,1095.5,1514,1425.488889,164.0122001,1095.5,0.001529002,5.5,53.31806013,231.9482778,91960.40099,0.3,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,191.5740813,4596.5,15.9,106.1,87.61313036,87.61313036,0,0,0,0,0,0,0,0,0.1,0.2,0,0.3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,553.7,60.2,202.6,101.8572222,53.04511361,95.8,0.010562301,5.5,14.24104506,75.01711909,3431.11687,0.9,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,469.1674738,39178.6,6,73.7,0.580777121,0.580777121,0,0,0,0,0,1,0,0,0,0.4,0,165.2,336.7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,424.6,59.6,119.4,74.65269841,20.80450116,84.2,0.021153402,5.5,12.20595391,29.42200769,604.6517103,0.8,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,1.1819206,232308,6,49,189.9408445,189.9408445,0,0,0,0,0,1,0,0,0,2,0,5,223.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,23467,1514,1514,1514,0,1514,167638861.1,13.5,55.02726597,0,0,0,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,1.714283729,349,8.2,154.6,36.53309487,36.53309487,0,0,0,0,0,1,0,0,0,0,0,2.2,3.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1557.4,54,230,100.9163536,41.67891611,89.7,167638640.2,13.5,14.22187789,58.90117871,1737.756011,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,42.41800866,2171,12,65.9,0.378442135,0.378442135,0,0,0,0,0,0,0,0,0,0,0,7.6,14.8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,713.8,68.8,207.4,132.3844444,48.06171421,116.2,0.021862888,5.5,16.24923707,67.96952807,2585.378437,0.9,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,441.7684715,14964.4,10.4,138.8,0.2927503,0.2927503,0,0,0,0,0,1,0,0,0,0,0,60.4,114.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2169.8,60,230,139.3058467,71.78712274,137.5,167638860.6,13.5,16.70811653,101.5730537,5159.656523,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,3.826257038,5248525,6,50,1067.492257,1067.492257,0,0,0,0,0,1,0,0,0,0,0,9,4084.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,8327,1514,1514,1514,0,1514,0.000129819,5.5,55.02726597,0,0,0,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,2.164434052,2882491,6,50,1045.769715,1045.769715,0,0,0,0,0,1,0,0,0,0,0,5,2263.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,23467,1514,1514,1514,0,1514,167638861.8,13.5,55.02726597,0,0,0,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,91.72906651,1532,9.3,83.1,12.78100282,12.78100282,0,0,0,0,0,0,0,0,0,0,0,0.8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3263.8,60,373,211.5347504,129.1889908,183.3,167638847.7,13.5,20.60135508,182.5450033,16705.35852,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,358.7600081,14204.8,8.7,114.9,1.221488874,1.221488874,0,0,0,0,0,1,0,0,0,0.8,0,42.3,85.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2160.1,58.2,1429.9,337.5389683,477.4826707,356,0.007483411,5.5,24.51194094,675.2624687,329348.6779,0.9,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,66.73664503,6879.4,7.1,168.6,123.365418,123.365418,0,0,0,0,1,1,0,0,0,1.8,0,8.5,22.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1570.3,54,334.1,99.30187167,82.78706788,202.4,167638710.4,13.5,13.87052805,108.7585916,6255.62279,1,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,1.73815465,2352094.2,6.6,71.9,1060.316861,1060.316861,0,0,0,0,0,1,0,0,0,0,0,4,1842,1,0,0,0,0,0,0,1,0,0,0,0,1,1,22798.6,1102.4,1514,1479.15614,111.4509766,1244,167638861.8,13.5,54.36685484,158.9335374,43071.70071,0.3,244.6,CommandInjection
192.168.1.100,192.168.1.1,1780569475,5.407708907,676.6,12.5,120.9,32.46972206,32.46972206,0,0,0,0,0,0,0,0,0,0,0,1.7,3.4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,688.1,60.6,179.7,109.797619,52.04284586,147.2,0.055980706,5.5,14.63536563,73.59969844,3795.230673,0.9,38.5,CommandInjection
192.168.1.100,192.168.1.1,1780569475,366.1035466,7742.1,9.9,94.2,1.702953303,1.702953303,0,0,0,0,0,0,0,0,0,0,0,16,31.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1609.5,204,369.3,312.206627,61.37158611,241.1,0.020563793,5.5,24.93056071,86.79252942,6198.253734,0.9,38.5,CommandInjection
